phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,503809,0.966,1.46,0.0,0.0,0.0,0.0,1.0,0.0
2,504809,-0.464,1.47,0.158,0.045,0.094,0.002,0.506,0.195
2,505809,-0.06,1.6,0.141,0.058,0.113,0.004,0.498,0.186
2,506809,0.572,1.54,0.168,0.054,0.098,0.006,0.504,0.17
2,507809,0.608,1.47,0.168,0.058,0.108,0.005,0.474,0.187
2,508809,0.028,1.48,0.16,0.055,0.103,0.002,0.487,0.193
2,509809,0.074,1.45,0.16,0.038,0.098,0.001,0.506,0.197
2,510809,0.58,1.41,0.172,0.045,0.1,0.005,0.491,0.187
2,511809,-0.078,1.4,0.169,0.066,0.121,0.003,0.468,0.173
2,512809,-0.084,1.45,0.162,0.055,0.101,0.004,0.483,0.195
2,513809,0.65,1.42,0.156,0.045,0.096,0.002,0.504,0.197
2,514809,1.058,1.36,0.172,0.055,0.104,0.002,0.492,0.175
2,515809,0.9092,1.59,0.159,0.056,0.092,0.005,0.484,0.204
2,516809,0.242,1.52,0.148,0.05,0.104,0.004,0.494,0.2
2,517809,0.304,1.55,0.157,0.063,0.124,0.001,0.47,0.185
2,518809,-1.204,1.61,0.134,0.06,0.123,0.004,0.496,0.183
2,519809,1.868,1.51,0.165,0.057,0.111,0.005,0.477,0.185
2,520809,1.83,1.41,0.191,0.049,0.094,0.005,0.487,0.174
2,521809,1.068,1.54,0.184,0.055,0.112,0.002,0.474,0.173
2,522809,1.528,1.44,0.173,0.047,0.112,0.003,0.485,0.18
2,523809,0.3382,1.48,0.164,0.038,0.095,0.002,0.485,0.216
2,524809,0.654,1.49,0.15,0.044,0.11,0.001,0.525,0.17
2,525809,-0.434,1.53,0.164,0.039,0.088,0.002,0.51,0.197
2,526809,0.798,1.54,0.166,0.065,0.105,0.001,0.48,0.183
2,527809,-0.362,1.48,0.181,0.038,0.097,0.003,0.486,0.195
2,528809,0.098,1.47,0.154,0.05,0.098,0.005,0.499,0.194
2,529809,0.932,1.49,0.184,0.045,0.107,0.003,0.475,0.186
2,530809,-0.2364,1.46,0.159,0.05,0.085,0.009,0.493,0.204
2,531809,2.73,1.46,0.154,0.053,0.102,0.009,0.489,0.193
2,532809,-0.444,1.43,0.166,0.037,0.105,0.006,0.494,0.192
2,533809,1.532,1.4,0.14,0.054,0.118,0.006,0.501,0.181
2,534809,0.728,1.55,0.159,0.055,0.1,0.006,0.479,0.201
2,535809,1.8268,1.49,0.145,0.056,0.11,0.011,0.491,0.187
2,536809,0.3292,1.59,0.166,0.068,0.116,0.013,0.486,0.151
2,537809,2.018,1.45,0.164,0.058,0.09,0.009,0.493,0.186
2,538809,0.3392,1.42,0.16,0.058,0.096,0.006,0.488,0.192
2,539809,0.9538,1.51,0.167,0.037,0.088,0.012,0.502,0.194
2,540809,1.58,1.38,0.163,0.045,0.092,0.011,0.495,0.194
2,541809,0.3574,1.57,0.165,0.053,0.108,0.009,0.477,0.188
2,542809,1.138,1.44,0.174,0.04,0.089,0.009,0.5,0.188
2,543809,1.778,1.41,0.163,0.048,0.101,0.006,0.512,0.17
2,544809,-0.544,1.44,0.172,0.047,0.083,0.007,0.504,0.187
2,545809,1.7416,1.48,0.122,0.048,0.104,0.011,0.5,0.215
2,546809,0.044,1.44,0.154,0.067,0.11,0.011,0.488,0.17
2,547809,0.86,1.49,0.125,0.052,0.109,0.013,0.501,0.2
2,548809,0.526,1.47,0.13,0.054,0.099,0.008,0.492,0.217
2,549809,0.652,1.41,0.122,0.059,0.105,0.011,0.506,0.197
2,550809,-0.342,1.48,0.132,0.072,0.099,0.01,0.496,0.191
2,551809,0.64,1.53,0.147,0.061,0.107,0.011,0.49,0.184
2,552809,-0.364,1.45,0.127,0.05,0.108,0.005,0.506,0.204
2,553809,1.574,1.6,0.137,0.053,0.116,0.007,0.511,0.176
2,554809,0.584,1.54,0.148,0.054,0.115,0.006,0.508,0.169
2,555809,1.94,1.51,0.15,0.067,0.11,0.012,0.483,0.178
2,556809,0.766,1.46,0.158,0.053,0.097,0.009,0.492,0.191
2,557809,-1.0262,1.52,0.13,0.065,0.117,0.011,0.505,0.172
2,558809,1.2948,1.46,0.163,0.06,0.089,0.01,0.491,0.187
2,559809,0.666,1.51,0.144,0.065,0.09,0.017,0.506,0.178
2,560809,0.824,1.49,0.149,0.07,0.113,0.014,0.472,0.182
2,561809,2.108,1.52,0.142,0.057,0.107,0.008,0.514,0.172
2,562809,0.77,1.51,0.136,0.055,0.096,0.016,0.502,0.195
2,563809,0.238,1.52,0.148,0.056,0.113,0.009,0.498,0.176
2,564809,0.51,1.6,0.114,0.075,0.13,0.008,0.49,0.183
2,565809,1.2632,1.58,0.136,0.071,0.109,0.008,0.494,0.182
2,566809,-0.31,1.63,0.124,0.065,0.108,0.011,0.511,0.181
2,567809,0.482,1.62,0.112,0.083,0.11,0.014,0.501,0.18
2,568809,1.5416,1.55,0.127,0.07,0.088,0.008,0.505,0.202
2,569809,0.458,1.46,0.121,0.083,0.117,0.013,0.491,0.175
2,570809,-0.63,1.54,0.132,0.064,0.106,0.012,0.489,0.197
2,571809,0.0912,1.57,0.122,0.087,0.115,0.013,0.472,0.191
2,572809,0.2452,1.54,0.134,0.069,0.102,0.01,0.487,0.198
2,573809,0.0368,1.59,0.137,0.07,0.1,0.008,0.49,0.195
2,574809,-0.7186,1.63,0.115,0.091,0.114,0.005,0.489,0.186
2,575809,-0.1772,1.57,0.112,0.087,0.119,0.004,0.492,0.186
2,576809,2.57,1.57,0.126,0.093,0.116,0.009,0.474,0.182
2,577809,1.33,1.6,0.122,0.085,0.119,0.008,0.476,0.19
2,578809,-0.2768,1.54,0.094,0.098,0.105,0.012,0.436,0.255
2,579809,1.956,1.62,0.109,0.095,0.118,0.01,0.453,0.215
2,580809,-0.3914,1.63,0.093,0.102,0.105,0.009,0.469,0.222
2,581809,0.752,1.56,0.102,0.109,0.127,0.007,0.434,0.221
2,582809,2.1152,1.48,0.098,0.092,0.105,0.01,0.462,0.233
2,583809,0.607,1.44,0.091,0.093,0.101,0.008,0.459,0.248
2,584809,-0.324,1.54,0.089,0.093,0.108,0.011,0.483,0.216
2,585809,-0.7464,1.72,0.084,0.108,0.111,0.016,0.467,0.214
2,586809,-0.384,1.54,0.098,0.103,0.11,0.012,0.458,0.219
2,587809,0.94,1.56,0.092,0.114,0.117,0.007,0.454,0.216
2,588809,1.146,1.58,0.078,0.129,0.117,0.018,0.431,0.227
2,589809,-0.4888,1.66,0.082,0.11,0.1,0.014,0.463,0.231
2,590809,1.744,1.58,0.078,0.107,0.102,0.011,0.45,0.252
2,591809,1.4844,1.62,0.09,0.108,0.1,0.019,0.433,0.25
2,592809,1.5086,1.53,0.071,0.142,0.102,0.009,0.418,0.258
2,593809,-0.616,1.64,0.066,0.146,0.116,0.014,0.399,0.259
2,594809,0.7114,1.62,0.063,0.125,0.097,0.01,0.443,0.262
2,595809,0.188,1.53,0.074,0.142,0.096,0.009,0.403,0.276
2,596809,1.0524,1.56,0.064,0.137,0.107,0.01,0.425,0.257
2,597809,0.356,1.64,0.068,0.14,0.08,0.012,0.439,0.261
2,598809,-0.5792,1.63,0.074,0.142,0.079,0.019,0.439,0.247
2,599809,1.8528,1.6,0.067,0.125,0.091,0.02,0.444,0.253
2,600809,0.8608,1.72,0.068,0.145,0.079,0.009,0.462,0.237
2,601809,0.6884,1.66,0.067,0.146,0.072,0.012,0.427,0.276
2,602809,0.3176,1.63,0.077,0.163,0.063,0.015,0.43,0.252
2,603809,1.256,1.66,0.059,0.147,0.071,0.008,0.437,0.278
2,604809,0.332,1.67,0.065,0.184,0.064,0.013,0.416,0.258
2,605809,1.7858,1.7,0.076,0.147,0.055,0.01,0.432,0.28
2,606809,-0.367,1.77,0.068,0.165,0.062,0.007,0.432,0.266
2,607809,0.884,1.72,0.073,0.168,0.054,0.013,0.425,0.267
2,608809,1.4,1.79,0.08,0.162,0.047,0.019,0.431,0.261
2,609809,3.08,1.65,0.061,0.168,0.043,0.015,0.441,0.272
2,610809,0.9334,1.64,0.075,0.159,0.059,0.022,0.434,0.251
2,611809,-0.252,1.68,0.074,0.158,0.041,0.007,0.445,0.275
2,612809,0.9832,1.66,0.09,0.161,0.04,0.006,0.432,0.271
2,613809,0.2512,1.68,0.068,0.156,0.035,0.012,0.45,0.279
2,614809,-0.318,1.59,0.077,0.167,0.048,0.01,0.421,0.277
2,615809,0.772,1.68,0.089,0.173,0.039,0.008,0.412,0.279
2,616809,-0.0034,1.72,0.068,0.187,0.048,0.008,0.403,0.286
2,617809,1.698,1.73,0.075,0.18,0.032,0.011,0.392,0.31
2,618809,0.498,1.66,0.073,0.169,0.036,0.005,0.39,0.327
2,619809,0.388,1.66,0.057,0.154,0.044,0.014,0.413,0.318
2,620809,0.8292,1.72,0.061,0.184,0.047,0.011,0.375,0.322
2,621809,0.5984,1.57,0.061,0.184,0.049,0.006,0.398,0.302
2,622809,1.3932,1.65,0.06,0.178,0.044,0.009,0.416,0.293
2,623809,1.3072,1.65,0.06,0.195,0.044,0.004,0.384,0.313
2,624809,-0.394,1.7,0.067,0.172,0.052,0.005,0.401,0.303
2,625809,1.436,1.69,0.061,0.193,0.063,0.006,0.385,0.292
2,626809,2.364,1.71,0.077,0.184,0.042,0.005,0.413,0.279
2,627809,0.742,1.68,0.065,0.185,0.063,0.008,0.396,0.283
2,628809,0.526,1.58,0.066,0.18,0.07,0.01,0.404,0.27
2,629809,1.674,1.7,0.067,0.18,0.064,0.011,0.412,0.266
2,630809,3.1368,1.85,0.071,0.188,0.058,0.007,0.396,0.28
2,631809,0.9392,1.66,0.063,0.165,0.061,0.005,0.427,0.279
2,632809,0.9436,1.67,0.065,0.197,0.052,0.007,0.388,0.291
2,633809,2.704,1.66,0.055,0.184,0.069,0.003,0.413,0.276
2,634809,0.739,1.72,0.052,0.194,0.048,0.006,0.406,0.294
2,635809,2.5572,1.72,0.058,0.178,0.059,0.008,0.406,0.291
2,636809,1.056,1.65,0.066,0.184,0.05,0.004,0.411,0.285
2,637809,0.202,1.69,0.057,0.174,0.063,0.003,0.427,0.276
2,638809,1.314,1.71,0.072,0.184,0.062,0.008,0.389,0.285
2,639809,-0.6208,1.73,0.064,0.191,0.046,0.002,0.414,0.283
2,640809,1.6832,1.68,0.062,0.191,0.061,0.011,0.404,0.271
2,641809,0.4072,1.66,0.086,0.176,0.071,0.008,0.411,0.248
2,642809,1.6772,1.72,0.069,0.188,0.063,0.011,0.418,0.251
2,643809,0.406,1.63,0.075,0.185,0.06,0.01,0.406,0.264
2,644809,1.04,1.57,0.06,0.188,0.043,0.008,0.42,0.281
2,645809,0.8012,1.81,0.071,0.177,0.055,0.004,0.423,0.27
2,646809,2.526,1.72,0.056,0.2,0.056,0.006,0.407,0.275
2,647809,0.366,1.74,0.078,0.193,0.065,0.004,0.412,0.248
2,648809,0.964,1.84,0.07,0.178,0.068,0.013,0.416,0.255
2,649809,2.1052,1.71,0.06,0.19,0.055,0.017,0.409,0.269
2,650809,0.664,1.7,0.059,0.2,0.041,0.005,0.415,0.28
2,651809,2.118,1.81,0.086,0.172,0.039,0.01,0.433,0.26
2,652809,0.814,1.72,0.08,0.188,0.04,0.011,0.423,0.258
2,653809,0.282,1.72,0.073,0.176,0.049,0.009,0.422,0.271
2,654809,1.864,1.78,0.082,0.212,0.033,0.018,0.398,0.257
2,655809,2.02,1.75,0.091,0.184,0.049,0.014,0.417,0.245
2,656809,-0.768,1.84,0.089,0.211,0.052,0.01,0.403,0.235
2,657809,1.964,1.76,0.078,0.194,0.049,0.012,0.427,0.24
2,658809,0.0254,1.86,0.091,0.2,0.039,0.01,0.404,0.256
2,659809,1.6192,1.76,0.085,0.19,0.041,0.01,0.418,0.256
2,660809,1.4,1.82,0.072,0.207,0.044,0.009,0.421,0.247
2,661809,0.6872,1.71,0.085,0.185,0.044,0.006,0.426,0.254
2,662809,0.908,1.71,0.098,0.198,0.047,0.008,0.406,0.243
2,663809,0.342,1.79,0.076,0.191,0.047,0.007,0.422,0.257
2,664809,-0.6152,1.78,0.087,0.194,0.048,0.008,0.419,0.244
2,665809,1.896,1.73,0.086,0.182,0.045,0.005,0.442,0.24
