phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,102401,1.8644,1.72,0.0,0.0,0.0,0.0,1.0,0.0
2,103401,-0.274,1.75,0.117,0.146,0.026,0.01,0.384,0.317
2,104401,0.488,1.71,0.117,0.161,0.02,0.004,0.383,0.315
2,105401,0.1948,1.71,0.12,0.143,0.035,0.006,0.395,0.301
2,106401,0.4632,1.77,0.121,0.147,0.019,0.011,0.39,0.312
2,107401,-0.152,1.71,0.097,0.147,0.031,0.01,0.386,0.329
2,108401,0.814,1.83,0.11,0.148,0.02,0.012,0.375,0.335
2,109401,0.7988,1.72,0.114,0.142,0.031,0.009,0.39,0.314
2,110401,1.618,1.74,0.113,0.144,0.044,0.007,0.392,0.3
2,111401,0.8292,1.73,0.089,0.158,0.03,0.01,0.373,0.34
2,112401,0.528,1.7,0.087,0.151,0.034,0.005,0.377,0.346
2,113401,0.164,1.7,0.098,0.151,0.034,0.012,0.374,0.331
2,114401,0.8696,1.7,0.089,0.142,0.033,0.013,0.369,0.354
2,115401,-0.024,1.71,0.105,0.145,0.033,0.013,0.375,0.329
2,116401,0.3852,1.76,0.091,0.151,0.031,0.014,0.363,0.35
2,117401,1.56,1.75,0.083,0.134,0.034,0.018,0.375,0.356
2,118401,0.3348,1.72,0.094,0.161,0.04,0.013,0.36,0.332
2,119401,1.048,1.71,0.088,0.147,0.041,0.016,0.37,0.338
2,120401,0.3096,1.78,0.11,0.134,0.058,0.014,0.382,0.302
2,121401,0.0852,1.68,0.083,0.139,0.061,0.013,0.377,0.327
2,122401,2.3554,1.82,0.077,0.15,0.051,0.021,0.359,0.342
2,123401,2.5142,1.76,0.064,0.145,0.053,0.021,0.365,0.352
2,124401,1.5112,1.74,0.077,0.156,0.049,0.012,0.354,0.352
2,125401,0.8712,1.74,0.079,0.144,0.073,0.012,0.356,0.336
2,126401,-0.598,1.71,0.067,0.136,0.06,0.019,0.365,0.353
2,127401,0.96,1.72,0.071,0.129,0.058,0.018,0.386,0.338
2,128401,0.6532,1.72,0.077,0.137,0.071,0.019,0.365,0.331
2,129401,0.8512,1.68,0.091,0.134,0.065,0.012,0.377,0.321
2,130401,1.688,1.77,0.094,0.139,0.07,0.012,0.372,0.313
2,131401,0.4028,1.73,0.086,0.139,0.059,0.012,0.373,0.331
2,132401,2.182,1.69,0.094,0.131,0.052,0.014,0.391,0.318
2,133401,0.2216,1.81,0.082,0.131,0.055,0.014,0.381,0.337
2,134401,0.0788,1.79,0.079,0.136,0.062,0.008,0.375,0.34
2,135401,1.946,1.8,0.081,0.124,0.075,0.011,0.38,0.329
2,136401,-0.8972,1.73,0.07,0.126,0.057,0.012,0.396,0.339
2,137401,-0.062,1.78,0.082,0.137,0.068,0.013,0.375,0.325
2,138401,-1.2728,1.75,0.071,0.125,0.051,0.015,0.4,0.338
2,139401,0.3008,1.71,0.075,0.128,0.067,0.011,0.395,0.324
2,140401,-0.667,1.82,0.07,0.133,0.064,0.012,0.386,0.335
2,141401,0.762,1.73,0.059,0.133,0.071,0.008,0.391,0.338
2,142401,2.743,1.69,0.05,0.128,0.051,0.008,0.424,0.339
2,143401,0.1932,1.7,0.071,0.119,0.062,0.018,0.402,0.328
2,144401,2.932,1.7,0.069,0.107,0.054,0.006,0.448,0.316
2,145401,1.508,1.68,0.084,0.112,0.07,0.005,0.425,0.304
2,146401,-0.1312,1.75,0.064,0.13,0.06,0.005,0.4,0.341
2,147401,-0.1112,1.61,0.075,0.125,0.071,0.012,0.408,0.309
2,148401,0.8068,1.68,0.079,0.126,0.06,0.016,0.395,0.324
2,149401,1.804,1.69,0.067,0.112,0.075,0.013,0.416,0.317
2,150401,0.0688,1.71,0.076,0.107,0.08,0.011,0.406,0.32
2,151401,1.4,1.71,0.077,0.105,0.079,0.013,0.418,0.308
2,152401,-0.042,1.8,0.072,0.117,0.068,0.011,0.406,0.326
2,153401,0.4172,1.68,0.076,0.106,0.074,0.009,0.425,0.31
2,154401,1.0804,1.69,0.086,0.102,0.079,0.006,0.421,0.306
