phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
2,1003521,0.9188,1.6,0.0,0.0,0.0,1.0,0.0,0.0
2,1004521,2.1936,1.49,0.004,0.067,0.002,0.191,0.343,0.393
2,1005521,2.0232,1.49,0.021,0.081,0.0,0.184,0.329,0.385
2,1006521,1.9536,1.49,0.01,0.07,0.0,0.225,0.307,0.388
2,1007521,1.5244,1.53,0.01,0.067,0.0,0.211,0.313,0.399
2,1008521,2.1712,1.53,0.013,0.082,0.002,0.187,0.328,0.388
2,1009521,2.0756,1.53,0.017,0.055,0.0,0.197,0.351,0.38
2,1010521,0.7456,1.52,0.01,0.065,0.0,0.203,0.33,0.392
2,1011521,0.8712,1.55,0.01,0.073,0.0,0.202,0.323,0.392
2,1012521,2.5832,1.48,0.016,0.08,0.002,0.171,0.346,0.385
2,1013521,2.3692,1.52,0.011,0.067,0.002,0.158,0.381,0.381
2,1014521,1.652,1.51,0.018,0.071,0.002,0.152,0.379,0.378
2,1015521,2.764,1.55,0.016,0.052,0.001,0.146,0.395,0.39
2,1016521,1.3344,1.52,0.015,0.056,0.002,0.164,0.378,0.385
2,1017521,2.0124,1.57,0.013,0.069,0.001,0.156,0.361,0.4
2,1018521,0.9464,1.57,0.015,0.065,0.001,0.135,0.398,0.386
2,1019521,0.6936,1.53,0.014,0.07,0.0,0.129,0.398,0.389
2,1020521,1.5624,1.53,0.014,0.067,0.0,0.126,0.406,0.387
2,1021521,2.2456,1.5,0.016,0.071,0.0,0.114,0.411,0.388
2,1022521,1.9032,1.54,0.012,0.073,0.001,0.138,0.392,0.384
2,1023521,1.4596,1.52,0.012,0.063,0.0,0.158,0.367,0.4
2,1024521,1.0116,1.52,0.013,0.066,0.002,0.146,0.385,0.388
2,1025521,0.688,1.53,0.006,0.071,0.002,0.131,0.394,0.396
2,1026521,1.2532,1.46,0.013,0.062,0.002,0.137,0.39,0.396
2,1027521,1.9636,1.49,0.008,0.057,0.004,0.122,0.415,0.394
2,1028521,2.26,1.55,0.014,0.069,0.001,0.132,0.397,0.387
2,1029521,2.0208,1.48,0.009,0.058,0.003,0.104,0.431,0.395
2,1030521,3.4672,1.51,0.009,0.068,0.002,0.127,0.398,0.396
2,1031521,-0.0908,1.53,0.011,0.072,0.001,0.136,0.39,0.39
2,1032521,1.8884,1.52,0.006,0.072,0.001,0.126,0.401,0.394
2,1033521,0.4532,1.58,0.009,0.081,0.001,0.137,0.377,0.395
2,1034521,0.9016,1.52,0.007,0.075,0.002,0.088,0.424,0.404
2,1035521,1.716,1.49,0.01,0.07,0.002,0.09,0.437,0.391
2,1036521,3.0332,1.57,0.013,0.062,0.001,0.096,0.44,0.388
2,1037521,1.9652,1.54,0.01,0.07,0.001,0.103,0.416,0.4
2,1038521,0.8384,1.56,0.014,0.071,0.003,0.11,0.405,0.397
2,1039521,1.4032,1.51,0.011,0.076,0.003,0.084,0.43,0.396
2,1040521,1.7856,1.54,0.017,0.079,0.0,0.097,0.408,0.399
2,1041521,1.2712,1.54,0.011,0.066,0.004,0.081,0.439,0.399
2,1042521,1.646,1.48,0.007,0.066,0.002,0.081,0.443,0.401
2,1043521,2.9952,1.46,0.015,0.066,0.0,0.075,0.454,0.39
2,1044521,0.7324,1.44,0.011,0.063,0.001,0.082,0.438,0.405
2,1045521,0.8064,1.52,0.012,0.071,0.0,0.084,0.421,0.412
2,1046521,2.0172,1.5,0.003,0.054,0.002,0.089,0.433,0.419
2,1047521,0.9532,1.49,0.008,0.069,0.0,0.068,0.452,0.403
2,1048521,0.386,1.47,0.022,0.067,0.002,0.067,0.446,0.396
2,1049521,1.4312,1.48,0.016,0.074,0.001,0.075,0.444,0.39
2,1050521,1.2972,1.47,0.008,0.084,0.0,0.087,0.418,0.403
2,1051521,1.0772,1.52,0.007,0.065,0.0,0.067,0.472,0.389
2,1052521,2.374,1.48,0.009,0.055,0.001,0.074,0.47,0.391
2,1053521,2.9472,1.49,0.01,0.072,0.0,0.079,0.45,0.389
2,1054521,2.046,1.52,0.013,0.062,0.0,0.066,0.473,0.386
2,1055521,1.5032,1.42,0.005,0.068,0.001,0.074,0.457,0.395
2,1056521,1.9164,1.49,0.011,0.077,0.0,0.069,0.445,0.398
2,1057521,2.0172,1.54,0.008,0.07,0.0,0.057,0.466,0.399
2,1058521,2.3564,1.49,0.008,0.066,0.002,0.072,0.469,0.383
2,1059521,-0.1344,1.54,0.008,0.067,0.002,0.07,0.459,0.394
2,1060521,1.1824,1.51,0.005,0.061,0.001,0.063,0.467,0.403
2,1061521,1.4792,1.53,0.006,0.063,0.001,0.069,0.471,0.39
2,1062521,1.4652,1.48,0.012,0.059,0.0,0.062,0.478,0.389
2,1063521,1.8352,1.54,0.01,0.074,0.0,0.078,0.439,0.399
2,1064521,1.468,1.49,0.012,0.067,0.001,0.069,0.46,0.391
2,1065521,2.028,1.58,0.011,0.068,0.002,0.059,0.468,0.392
2,1066521,2.2492,1.48,0.008,0.062,0.001,0.059,0.473,0.397
2,1067521,2.2896,1.5,0.008,0.066,0.001,0.062,0.461,0.402
2,1068521,1.3216,1.47,0.007,0.067,0.002,0.069,0.452,0.403
2,1069521,1.2408,1.55,0.01,0.061,0.001,0.08,0.447,0.401
2,1070521,1.1916,1.6,0.011,0.073,0.002,0.088,0.431,0.395
2,1071521,1.8864,1.48,0.014,0.073,0.0,0.103,0.412,0.398
2,1072521,1.0336,1.52,0.017,0.081,0.002,0.076,0.431,0.393
2,1073521,2.4284,1.55,0.015,0.076,0.0,0.085,0.433,0.391
2,1074521,1.8224,1.46,0.007,0.064,0.0,0.07,0.457,0.402
2,1075521,1.654,1.55,0.008,0.081,0.001,0.08,0.433,0.397
2,1076521,1.9624,1.55,0.012,0.069,0.001,0.1,0.427,0.391
2,1077521,1.3056,1.56,0.01,0.07,0.001,0.101,0.424,0.394
2,1078521,2.128,1.53,0.014,0.061,0.0,0.105,0.426,0.394
2,1079521,2.426,1.49,0.011,0.071,0.001,0.081,0.439,0.397
2,1080521,3.1128,1.5,0.013,0.065,0.001,0.078,0.443,0.4
2,1081521,1.3844,1.52,0.007,0.068,0.0,0.079,0.449,0.397
2,1082521,1.544,1.52,0.017,0.069,0.0,0.092,0.436,0.386
2,1083521,0.428,1.49,0.01,0.07,0.0,0.087,0.441,0.392
2,1084521,0.716,1.51,0.011,0.071,0.001,0.088,0.424,0.405
2,1085521,2.1064,1.45,0.004,0.052,0.001,0.085,0.471,0.387
2,1086521,0.4464,1.54,0.011,0.059,0.0,0.081,0.44,0.409
2,1087521,-0.0824,1.45,0.01,0.076,0.0,0.078,0.437,0.399
2,1088521,1.7156,1.52,0.013,0.065,0.002,0.111,0.408,0.401
2,1089521,1.8176,1.52,0.015,0.066,0.001,0.088,0.425,0.405
2,1090521,1.6388,1.53,0.016,0.066,0.001,0.096,0.423,0.398
2,1091521,1.924,1.51,0.01,0.076,0.001,0.087,0.424,0.402
2,1092521,2.5028,1.49,0.01,0.075,0.0,0.073,0.442,0.4
2,1093521,1.8276,1.51,0.008,0.056,0.0,0.095,0.434,0.407
2,1094521,1.2108,1.5,0.009,0.067,0.001,0.085,0.428,0.41
2,1095521,1.8532,1.5,0.01,0.078,0.002,0.079,0.424,0.407
2,1096521,2.234,1.56,0.013,0.061,0.0,0.081,0.445,0.4
2,1097521,1.0308,1.55,0.014,0.066,0.002,0.066,0.459,0.393
2,1098521,3.6152,1.46,0.015,0.062,0.0,0.071,0.464,0.388
2,1099521,2.184,1.5,0.018,0.062,0.001,0.064,0.469,0.386
2,1100521,2.2036,1.55,0.015,0.07,0.002,0.074,0.439,0.4
2,1101521,1.3368,1.49,0.011,0.063,0.0,0.075,0.442,0.409
2,1102521,0.754,1.51,0.016,0.063,0.0,0.066,0.472,0.383
2,1103521,1.9256,1.49,0.011,0.067,0.0,0.09,0.426,0.406
2,1104521,1.7556,1.52,0.012,0.082,0.003,0.087,0.417,0.399
2,1105521,1.7028,1.49,0.011,0.076,0.0,0.089,0.415,0.409
2,1106521,0.8836,1.5,0.015,0.072,0.0,0.082,0.43,0.401
2,1107521,1.2052,1.47,0.013,0.063,0.003,0.086,0.443,0.392
2,1108521,1.32,1.55,0.006,0.057,0.001,0.069,0.465,0.402
2,1109521,0.702,1.55,0.014,0.058,0.001,0.062,0.469,0.396
2,1110521,2.6544,1.53,0.015,0.068,0.001,0.058,0.461,0.397
2,1111521,1.0424,1.51,0.011,0.056,0.0,0.054,0.494,0.385
2,1112521,2.5424,1.62,0.016,0.064,0.0,0.059,0.469,0.392
2,1113521,1.2352,1.51,0.012,0.064,0.001,0.049,0.494,0.38
2,1114521,1.4264,1.54,0.015,0.063,0.002,0.045,0.489,0.386
2,1115521,2.322,1.48,0.014,0.069,0.001,0.038,0.495,0.383
2,1116521,2.3412,1.53,0.019,0.066,0.0,0.057,0.471,0.387
2,1117521,0.8516,1.54,0.012,0.067,0.002,0.042,0.494,0.383
2,1118521,1.9764,1.6,0.022,0.067,0.0,0.046,0.486,0.379
2,1119521,1.404,1.54,0.012,0.075,0.0,0.033,0.496,0.384
2,1120521,1.1596,1.57,0.011,0.062,0.001,0.037,0.503,0.386
2,1121521,2.1324,1.51,0.011,0.062,0.0,0.047,0.496,0.384
2,1122521,0.9392,1.6,0.014,0.065,0.0,0.04,0.495,0.386
2,1123521,0.4104,1.54,0.009,0.066,0.001,0.049,0.494,0.381
2,1124521,0.9044,1.58,0.011,0.065,0.001,0.034,0.501,0.388
2,1125521,1.934,1.57,0.011,0.066,0.002,0.043,0.494,0.384
2,1126521,1.7168,1.52,0.016,0.075,0.001,0.069,0.465,0.374
2,1127521,1.8696,1.58,0.017,0.082,0.001,0.07,0.443,0.387
2,1128521,1.572,1.54,0.007,0.066,0.002,0.073,0.471,0.381
2,1129521,2.482,1.51,0.014,0.064,0.0,0.056,0.496,0.37
2,1130521,1.8732,1.52,0.009,0.081,0.0,0.054,0.478,0.378
2,1131521,2.1552,1.51,0.004,0.073,0.0,0.065,0.476,0.382
2,1132521,2.2028,1.52,0.011,0.074,0.001,0.057,0.483,0.374
2,1133521,2.2668,1.59,0.012,0.075,0.0,0.076,0.456,0.381
2,1134521,1.7128,1.62,0.015,0.071,0.001,0.059,0.471,0.383
2,1135521,1.996,1.57,0.016,0.069,0.0,0.045,0.491,0.379
2,1136521,1.7724,1.56,0.012,0.074,0.0,0.051,0.495,0.368
2,1137521,1.1896,1.49,0.014,0.064,0.001,0.044,0.506,0.371
2,1138521,2.1348,1.54,0.005,0.068,0.001,0.044,0.506,0.376
2,1139521,0.6092,1.54,0.011,0.076,0.0,0.029,0.501,0.383
2,1140521,1.5592,1.54,0.006,0.069,0.002,0.031,0.51,0.382
2,1141521,-0.2644,1.54,0.003,0.066,0.0,0.031,0.517,0.383
2,1142521,1.104,1.5,0.013,0.067,0.0,0.03,0.514,0.376
2,1143521,1.3212,1.5,0.01,0.068,0.0,0.026,0.522,0.374
2,1144521,2.158,1.56,0.012,0.076,0.002,0.024,0.509,0.377
2,1145521,1.172,1.51,0.012,0.054,0.002,0.037,0.515,0.38
2,1146521,1.0204,1.54,0.015,0.07,0.001,0.045,0.492,0.377
2,1147521,1.2032,1.51,0.012,0.064,0.001,0.041,0.5,0.382
2,1148521,1.706,1.5,0.009,0.05,0.0,0.034,0.511,0.396
2,1149521,1.5308,1.46,0.015,0.07,0.002,0.033,0.499,0.381
2,1150521,0.14,1.52,0.014,0.069,0.001,0.043,0.482,0.391
2,1151521,1.9492,1.56,0.009,0.073,0.0,0.037,0.493,0.388
2,1152521,1.022,1.47,0.012,0.076,0.001,0.035,0.498,0.378
2,1153521,1.482,1.57,0.007,0.08,0.001,0.035,0.495,0.382
2,1154521,2.4152,1.47,0.014,0.065,0.0,0.032,0.525,0.364
2,1155521,1.6052,1.55,0.009,0.081,0.0,0.05,0.469,0.391
2,1156521,1.3672,1.53,0.014,0.084,0.001,0.043,0.479,0.379
2,1157521,2.5364,1.5,0.009,0.063,0.001,0.047,0.48,0.4
2,1158521,1.74,1.61,0.017,0.067,0.001,0.045,0.49,0.38
2,1159521,1.7952,1.56,0.012,0.072,0.003,0.04,0.493,0.38
2,1160521,1.788,1.55,0.015,0.07,0.001,0.039,0.491,0.384
2,1161521,1.0984,1.53,0.014,0.068,0.0,0.035,0.504,0.379
2,1162521,1.6524,1.53,0.008,0.072,0.001,0.044,0.496,0.379
2,1163521,1.3448,1.57,0.012,0.068,0.001,0.049,0.49,0.38
2,1164521,2.234,1.5,0.009,0.066,0.001,0.045,0.497,0.382
2,1165521,1.3316,1.52,0.005,0.066,0.002,0.036,0.498,0.393
2,1166521,1.3296,1.54,0.014,0.07,0.001,0.046,0.478,0.391
2,1167521,2.188,1.48,0.007,0.08,0.001,0.049,0.478,0.385
2,1168521,2.6824,1.55,0.015,0.068,0.001,0.059,0.476,0.381
2,1169521,2.5712,1.53,0.01,0.066,0.001,0.043,0.495,0.385
2,1170521,0.9112,1.51,0.016,0.074,0.0,0.078,0.455,0.377
2,1171521,1.204,1.5,0.011,0.072,0.001,0.073,0.471,0.372
2,1172521,1.0792,1.51,0.015,0.067,0.001,0.075,0.462,0.38
2,1173521,1.5732,1.52,0.01,0.072,0.0,0.08,0.45,0.388
2,1174521,2.3304,1.53,0.013,0.059,0.001,0.075,0.47,0.382
2,1175521,1.8152,1.55,0.013,0.065,0.001,0.065,0.47,0.386
2,1176521,1.8888,1.56,0.02,0.073,0.0,0.058,0.477,0.372
2,1177521,2.2208,1.54,0.012,0.073,0.0,0.052,0.483,0.38
2,1178521,1.5084,1.55,0.013,0.064,0.001,0.068,0.468,0.386
2,1179521,3.2512,1.53,0.01,0.081,0.003,0.068,0.457,0.381
2,1180521,2.9564,1.52,0.024,0.058,0.0,0.078,0.45,0.39
2,1181521,1.9232,1.53,0.013,0.082,0.0,0.077,0.442,0.386
2,1182521,1.1976,1.51,0.007,0.066,0.0,0.094,0.452,0.381
2,1183521,2.678,1.54,0.01,0.073,0.0,0.082,0.445,0.39
2,1184521,2.7684,1.56,0.012,0.06,0.002,0.076,0.474,0.376
2,1185521,2.5884,1.51,0.013,0.062,0.001,0.082,0.452,0.39
2,1186521,3.3848,1.49,0.009,0.064,0.001,0.09,0.451,0.385
2,1187521,2.9704,1.53,0.014,0.061,0.0,0.077,0.459,0.389
2,1188521,1.8644,1.51,0.018,0.068,0.001,0.085,0.451,0.377
2,1189521,0.4196,1.55,0.009,0.074,0.001,0.062,0.473,0.381
