phase,timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1,1000,-0.4162,2.0,0.171,0.172,0.155,0.155,0.168,0.179
1,2000,-1.376,2.05,0.16,0.148,0.179,0.163,0.196,0.154
1,3000,-2.5264,2.04,0.159,0.178,0.176,0.139,0.173,0.175
1,4000,-0.4426,2.13,0.167,0.158,0.17,0.148,0.182,0.175
1,5000,-1.073,2.18,0.173,0.13,0.171,0.186,0.197,0.143
1,6000,-0.4766,2.06,0.175,0.131,0.144,0.158,0.224,0.168
1,7000,-1.1528,1.95,0.16,0.135,0.133,0.178,0.209,0.185
1,8000,0.592,1.9,0.177,0.112,0.136,0.173,0.244,0.158
1,9000,0.288,1.98,0.19,0.144,0.107,0.163,0.23,0.166
1,10000,0.345,1.85,0.165,0.103,0.109,0.189,0.251,0.183
1,11000,-1.7712,1.85,0.126,0.141,0.096,0.173,0.281,0.183
1,12000,0.5872,1.86,0.137,0.125,0.115,0.184,0.255,0.184
1,13000,0.6522,1.84,0.134,0.106,0.09,0.172,0.3,0.198
1,14000,-1.0198,1.8,0.13,0.096,0.091,0.177,0.284,0.222
1,15000,0.4632,1.87,0.131,0.082,0.111,0.166,0.278,0.232
1,16000,-1.2576,1.75,0.118,0.085,0.102,0.142,0.305,0.248
1,17000,-0.8068,1.61,0.134,0.081,0.093,0.173,0.272,0.247
1,18000,0.1576,1.74,0.123,0.083,0.081,0.171,0.273,0.269
1,19000,-0.0052,1.61,0.109,0.064,0.087,0.18,0.297,0.263
1,20000,0.0506,1.6,0.107,0.07,0.079,0.168,0.294,0.282
1,21000,0.6388,1.49,0.125,0.059,0.076,0.182,0.267,0.291
1,22000,0.803,1.45,0.116,0.042,0.089,0.173,0.282,0.298
1,23000,0.3136,1.57,0.118,0.048,0.106,0.167,0.273,0.288
1,24000,0.949,1.61,0.098,0.032,0.089,0.169,0.311,0.301
1,25000,1.0844,1.5,0.108,0.042,0.083,0.185,0.28,0.302
1,26000,0.1666,1.56,0.092,0.027,0.088,0.169,0.339,0.285
1,27000,1.66,1.51,0.087,0.023,0.095,0.16,0.317,0.318
1,28000,0.6436,1.48,0.107,0.028,0.087,0.146,0.329,0.303
1,29000,0.5948,1.51,0.088,0.021,0.095,0.15,0.333,0.313
1,30000,1.7796,1.6,0.091,0.018,0.086,0.173,0.313,0.319
1,31000,0.2852,1.49,0.099,0.022,0.082,0.166,0.32,0.311
1,32000,1.79,1.53,0.086,0.022,0.081,0.177,0.328,0.306
