timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
700417,3.987,1.87,0.0,1.0,0.0,0.0,0.0,0.0
701417,2.184,1.93,0.115,0.131,0.0,0.0,0.717,0.037
702417,1.423,2.08,0.094,0.144,0.0,0.0,0.719,0.043
703417,0.952,1.98,0.107,0.136,0.0,0.0,0.722,0.035
704417,3.619,1.93,0.117,0.13,0.001,0.001,0.711,0.04
705417,2.333,2.08,0.099,0.139,0.0,0.0,0.716,0.046
706417,6.21,2.03,0.09,0.145,0.0,0.0,0.716,0.049
707417,6.431,1.97,0.118,0.132,0.0,0.0,0.707,0.043
708417,2.797,2.04,0.113,0.132,0.0,0.0,0.705,0.05
709417,4.595,2.08,0.105,0.131,0.0,0.0,0.713,0.051
710417,3.1,2.07,0.104,0.137,0.0,0.0,0.717,0.042
711417,0.162,2.05,0.096,0.143,0.0,0.0,0.72,0.041
712417,4.054,2.07,0.108,0.131,0.0,0.0,0.72,0.041
713417,1.367,1.96,0.127,0.124,0.0,0.0,0.709,0.04
714417,4.126,2.01,0.107,0.138,0.0,0.0,0.719,0.036
715417,3.623,2.04,0.107,0.135,0.001,0.0,0.71,0.047
716417,4.954,1.96,0.111,0.13,0.0,0.0,0.713,0.046
717417,2.958,2.0,0.111,0.13,0.0,0.0,0.717,0.042
718417,5.962,2.13,0.101,0.138,0.0,0.0,0.725,0.036
719417,3.93,2.0,0.113,0.126,0.0,0.0,0.72,0.041
720417,4.024,1.96,0.103,0.133,0.0,0.0,0.715,0.049
721417,5.637,1.95,0.119,0.125,0.0,0.0,0.703,0.053
722417,2.201,2.06,0.104,0.133,0.0,0.0,0.711,0.052
723417,4.078,2.09,0.089,0.143,0.0,0.0,0.725,0.043
724417,1.566,2.17,0.081,0.147,0.0,0.0,0.72,0.052
725417,2.622,2.0,0.102,0.133,0.0,0.0,0.71,0.055
726417,1.844,2.14,0.086,0.143,0.0,0.0,0.719,0.052
727417,1.003,2.08,0.102,0.136,0.0,0.0,0.726,0.036
728417,2.879,2.03,0.085,0.144,0.0,0.0,0.717,0.054
729417,2.617,2.1,0.078,0.148,0.0,0.0,0.728,0.046
730417,3.878,1.97,0.089,0.142,0.0,0.001,0.707,0.061
731417,5.867,1.96,0.086,0.14,0.0,0.0,0.713,0.061
732417,4.578,1.91,0.097,0.139,0.0,0.0,0.711,0.053
733417,5.6,2.1,0.091,0.141,0.0,0.0,0.72,0.048
734417,3.688,1.99,0.106,0.134,0.0,0.0,0.717,0.043
735417,5.43,1.98,0.09,0.138,0.0,0.0,0.714,0.058
736417,3.183,1.85,0.096,0.14,0.0,0.0,0.715,0.049
737417,4.31,1.96,0.11,0.128,0.0,0.0,0.715,0.047
738417,4.638,2.15,0.074,0.149,0.0,0.0,0.724,0.053
739417,2.88,2.01,0.089,0.141,0.0,0.001,0.707,0.062
740417,2.63,2.01,0.099,0.135,0.0,0.0,0.725,0.041
741417,4.197,1.99,0.092,0.139,0.0,0.0,0.719,0.05
742417,4.859,1.94,0.097,0.138,0.0,0.0,0.722,0.043
743417,2.59,2.1,0.096,0.143,0.0,0.0,0.703,0.058
744417,5.306,1.87,0.12,0.122,0.0,0.0,0.711,0.047
745417,3.62,2.09,0.087,0.145,0.0,0.0,0.715,0.053
746417,3.544,1.88,0.111,0.13,0.0,0.0,0.714,0.045
747417,3.19,2.12,0.094,0.139,0.001,0.0,0.711,0.055
748417,2.919,1.95,0.09,0.141,0.0,0.0,0.72,0.049
749417,3.37,2.2,0.079,0.15,0.0,0.0,0.722,0.049
750417,3.81,2.1,0.085,0.147,0.0,0.0,0.717,0.051
751417,4.181,1.98,0.084,0.144,0.0,0.0,0.712,0.06
752417,2.403,2.04,0.093,0.135,0.0,0.0,0.719,0.053
753417,1.391,2.1,0.091,0.139,0.0,0.0,0.715,0.055
754417,2.041,2.13,0.095,0.137,0.0,0.0,0.709,0.059
755417,3.843,2.05,0.1,0.134,0.0,0.0,0.72,0.046
756417,2.704,2.12,0.093,0.139,0.0,0.0,0.728,0.04
757417,4.47,2.04,0.096,0.136,0.0,0.0,0.717,0.051
758417,5.856,1.9,0.109,0.131,0.0,0.0,0.716,0.044
759417,2.434,2.03,0.092,0.141,0.0,0.0,0.718,0.049
760417,5.455,2.01,0.089,0.136,0.0,0.0,0.726,0.049
761417,3.38,2.08,0.093,0.137,0.0,0.0,0.716,0.054
762417,3.087,1.99,0.092,0.136,0.0,0.0,0.723,0.049
763417,4.581,2.1,0.084,0.141,0.0,0.0,0.712,0.063
764417,6.313,2.05,0.104,0.134,0.0,0.0,0.718,0.044
765417,5.562,2.09,0.081,0.144,0.0,0.0,0.724,0.051
766417,2.792,1.98,0.089,0.14,0.0,0.0,0.715,0.056
767417,1.4072,1.95,0.087,0.139,0.001,0.001,0.712,0.06
768417,0.623,1.99,0.105,0.133,0.0,0.0,0.713,0.049
769417,5.663,2.02,0.075,0.144,0.0,0.0,0.725,0.056
770417,2.954,1.98,0.093,0.135,0.0,0.0,0.718,0.054
771417,3.422,1.87,0.103,0.126,0.0,0.0,0.722,0.049
772417,2.293,1.96,0.092,0.137,0.0,0.001,0.71,0.06
773417,3.896,1.91,0.106,0.133,0.0,0.0,0.703,0.058
774417,3.933,1.93,0.1,0.136,0.0,0.0,0.714,0.05
775417,3.954,1.91,0.116,0.126,0.0,0.0,0.71,0.048
776417,3.009,2.0,0.094,0.137,0.0,0.0,0.712,0.057
777417,4.31,1.99,0.101,0.137,0.001,0.001,0.7,0.06
778417,4.138,2.01,0.102,0.135,0.0,0.001,0.708,0.054
779417,3.353,1.91,0.101,0.132,0.001,0.0,0.717,0.049
780417,4.528,2.04,0.1,0.133,0.0,0.0,0.712,0.055
781417,1.234,1.83,0.107,0.126,0.0,0.0,0.712,0.055
782417,4.192,1.97,0.1,0.13,0.0,0.0,0.71,0.06
783417,6.534,1.88,0.13,0.114,0.0,0.0,0.712,0.044
784417,2.739,1.79,0.095,0.137,0.0,0.0,0.721,0.047
785417,3.987,1.96,0.093,0.131,0.001,0.0,0.716,0.059
786417,4.085,1.99,0.103,0.129,0.0,0.0,0.704,0.064
787417,4.16,2.08,0.103,0.133,0.0,0.0,0.71,0.054
788417,0.869,1.89,0.103,0.125,0.0,0.0,0.703,0.069
789417,2.274,1.93,0.097,0.133,0.0,0.0,0.708,0.062
790417,4.051,1.97,0.109,0.119,0.0,0.0,0.713,0.059
791417,3.311,2.08,0.122,0.115,0.0,0.0,0.697,0.066
792417,5.6,2.0,0.097,0.124,0.0,0.001,0.702,0.076
793417,5.596,1.98,0.111,0.122,0.0,0.0,0.719,0.048
794417,7.591,1.93,0.105,0.127,0.0,0.0,0.706,0.062
795417,3.0,1.8,0.132,0.106,0.0,0.001,0.706,0.055
796417,4.284,1.86,0.118,0.119,0.0,0.0,0.708,0.055
797417,2.753,2.05,0.117,0.12,0.0,0.0,0.71,0.053
798417,2.393,1.84,0.118,0.119,0.0,0.001,0.701,0.061
799417,2.478,1.89,0.114,0.119,0.0,0.0,0.706,0.061
800417,1.939,1.84,0.114,0.119,0.0,0.0,0.707,0.06
801417,0.678,1.82,0.138,0.104,0.0,0.0,0.696,0.062
802417,2.159,1.92,0.11,0.123,0.0,0.001,0.699,0.067
803417,3.245,2.03,0.096,0.13,0.0,0.0,0.708,0.066
804417,2.959,1.72,0.125,0.109,0.0,0.0,0.69,0.076
805417,2.127,1.83,0.12,0.115,0.001,0.0,0.697,0.067
806417,3.359,1.97,0.124,0.119,0.0,0.0,0.697,0.06
807417,6.167,1.87,0.123,0.114,0.0,0.001,0.693,0.069
808417,5.03,1.85,0.13,0.111,0.001,0.0,0.698,0.06
809417,4.363,1.93,0.107,0.127,0.0,0.0,0.711,0.055
810417,3.49,1.77,0.134,0.108,0.001,0.0,0.693,0.064
811417,3.254,1.82,0.134,0.107,0.0,0.001,0.697,0.061
812417,2.317,1.77,0.143,0.101,0.0,0.0,0.694,0.062
813417,2.816,1.87,0.159,0.098,0.0,0.0,0.686,0.057
814417,3.097,1.8,0.136,0.111,0.0,0.0,0.698,0.055
815417,-0.289,2.05,0.128,0.116,0.0,0.0,0.696,0.06
816417,-0.073,1.81,0.129,0.113,0.0,0.001,0.698,0.059
817417,4.091,1.8,0.117,0.127,0.0,0.0,0.704,0.052
818417,5.798,1.87,0.115,0.117,0.0,0.0,0.704,0.064
819417,4.798,1.91,0.121,0.12,0.0,0.0,0.701,0.058
820417,3.895,1.91,0.105,0.129,0.0,0.0,0.705,0.061
821417,3.34,1.86,0.119,0.12,0.001,0.0,0.704,0.056
822417,3.423,1.89,0.121,0.112,0.0,0.001,0.706,0.06
823417,4.292,1.8,0.13,0.115,0.0,0.0,0.703,0.052
824417,3.112,1.9,0.134,0.107,0.0,0.0,0.704,0.055
