timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1003521,2.503,2.24,0.0,1.0,0.0,0.0,0.0,0.0
1004521,3.4934,2.3,0.122,0.21,0.138,0.042,0.392,0.096
1005521,1.842,2.37,0.124,0.211,0.121,0.025,0.427,0.092
1006521,1.8072,2.53,0.103,0.244,0.14,0.047,0.37,0.096
1007521,5.4384,2.25,0.101,0.237,0.129,0.047,0.382,0.104
1008521,4.4056,2.43,0.105,0.237,0.104,0.044,0.408,0.102
1009521,5.2774,2.27,0.097,0.232,0.102,0.047,0.41,0.112
1010521,3.854,2.14,0.127,0.213,0.105,0.053,0.403,0.099
1011521,2.304,2.41,0.119,0.226,0.133,0.049,0.393,0.08
1012521,2.1444,2.42,0.101,0.217,0.131,0.056,0.39,0.105
1013521,2.224,2.47,0.089,0.236,0.13,0.046,0.381,0.118
1014521,4.5854,2.31,0.109,0.217,0.135,0.035,0.408,0.096
1015521,2.1764,2.25,0.129,0.19,0.11,0.04,0.427,0.104
1016521,4.398,2.42,0.095,0.228,0.122,0.05,0.4,0.105
1017521,3.941,2.38,0.093,0.238,0.107,0.035,0.416,0.111
1018521,4.4396,2.49,0.095,0.242,0.122,0.051,0.393,0.097
1019521,3.0894,2.45,0.093,0.243,0.123,0.043,0.406,0.092
1020521,1.8112,2.3,0.1,0.235,0.102,0.047,0.402,0.114
1021521,3.4998,2.45,0.102,0.241,0.125,0.034,0.395,0.103
1022521,3.0864,2.31,0.104,0.218,0.133,0.046,0.391,0.108
1023521,1.68,2.32,0.098,0.213,0.136,0.053,0.39,0.11
1024521,2.2204,2.22,0.107,0.227,0.128,0.045,0.392,0.101
1025521,2.9004,2.49,0.099,0.237,0.137,0.055,0.358,0.114
1026521,1.5034,2.2,0.096,0.223,0.121,0.068,0.381,0.111
1027521,0.6474,2.77,0.087,0.235,0.121,0.066,0.378,0.113
1028521,2.242,2.26,0.097,0.229,0.13,0.056,0.37,0.118
1029521,5.2332,2.44,0.07,0.241,0.129,0.062,0.382,0.116
1030521,3.374,2.34,0.092,0.241,0.102,0.063,0.386,0.116
1031521,1.8924,2.58,0.082,0.233,0.146,0.065,0.365,0.109
1032521,4.5954,2.37,0.102,0.198,0.12,0.077,0.395,0.108
