timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1000,0.476,1.89,0.151,0.162,0.167,0.18,0.172,0.168
2000,0.3326,1.89,0.195,0.168,0.158,0.153,0.163,0.163
3000,-1.3298,1.99,0.119,0.181,0.183,0.181,0.179,0.157
4000,2.3328,1.97,0.115,0.189,0.191,0.187,0.186,0.132
5000,1.8604,2.13,0.095,0.19,0.159,0.187,0.206,0.163
6000,3.2824,2.14,0.088,0.189,0.17,0.198,0.181,0.174
7000,3.099,2.06,0.087,0.194,0.166,0.195,0.171,0.187
8000,0.7724,2.01,0.078,0.184,0.145,0.191,0.192,0.21
9000,5.4548,1.99,0.062,0.167,0.159,0.207,0.184,0.221
10000,-0.6542,1.88,0.059,0.134,0.157,0.231,0.196,0.223
11000,3.9264,1.97,0.048,0.152,0.147,0.21,0.222,0.221
12000,1.06,2.06,0.066,0.151,0.146,0.216,0.214,0.207
13000,0.2356,2.07,0.035,0.16,0.13,0.239,0.223,0.213
14000,1.8608,2.0,0.046,0.17,0.141,0.228,0.229,0.186
15000,1.603,2.08,0.039,0.143,0.13,0.226,0.262,0.2
16000,-0.4486,2.14,0.04,0.121,0.15,0.227,0.26,0.202
17000,1.7508,2.0,0.041,0.117,0.128,0.197,0.297,0.22
18000,0.8432,2.1,0.047,0.107,0.128,0.187,0.314,0.217
19000,0.7584,2.12,0.042,0.108,0.126,0.205,0.306,0.213
20000,4.321,2.0,0.035,0.112,0.11,0.23,0.296,0.217
21000,2.2502,2.26,0.023,0.12,0.114,0.218,0.313,0.212
22000,2.1098,2.08,0.04,0.116,0.108,0.204,0.317,0.215
23000,1.7734,2.08,0.029,0.119,0.108,0.203,0.332,0.209
24000,3.3106,1.95,0.029,0.122,0.104,0.174,0.362,0.209
25000,3.4084,2.09,0.027,0.128,0.104,0.192,0.344,0.205
26000,2.894,1.87,0.033,0.096,0.097,0.153,0.384,0.237
27000,2.4904,1.91,0.037,0.103,0.113,0.147,0.376,0.224
28000,2.7398,1.89,0.037,0.11,0.094,0.136,0.371,0.252
29000,4.7416,2.0,0.026,0.098,0.101,0.121,0.4,0.254
30000,4.5484,2.02,0.024,0.091,0.098,0.149,0.414,0.224
31000,4.223,2.06,0.027,0.096,0.1,0.128,0.433,0.216
32000,0.4494,1.98,0.026,0.09,0.091,0.146,0.394,0.253
33000,3.3986,2.07,0.023,0.088,0.116,0.122,0.402,0.249
34000,1.863,1.97,0.022,0.103,0.127,0.115,0.406,0.227
35000,3.1134,2.01,0.022,0.087,0.126,0.107,0.389,0.269
36000,2.578,1.94,0.023,0.076,0.117,0.127,0.419,0.238
37000,2.1002,1.99,0.025,0.064,0.134,0.106,0.423,0.248
38000,3.0484,1.96,0.023,0.085,0.092,0.132,0.444,0.224
39000,2.61,2.08,0.012,0.085,0.109,0.122,0.445,0.227
40000,2.5044,2.08,0.037,0.083,0.091,0.125,0.455,0.209
41000,5.6284,2.01,0.021,0.102,0.097,0.121,0.462,0.197
42000,5.6072,2.02,0.045,0.097,0.076,0.099,0.474,0.209
43000,2.1498,2.17,0.023,0.105,0.069,0.115,0.487,0.201
44000,1.1694,2.07,0.025,0.095,0.08,0.105,0.487,0.208
45000,5.7116,2.12,0.015,0.092,0.083,0.103,0.483,0.224
46000,2.5842,2.05,0.019,0.085,0.103,0.103,0.46,0.23
47000,1.9014,1.99,0.027,0.086,0.089,0.091,0.453,0.254
48000,3.1542,1.95,0.033,0.083,0.104,0.097,0.459,0.224
49000,5.7566,2.07,0.028,0.105,0.098,0.09,0.454,0.225
50000,4.427,1.99,0.029,0.092,0.097,0.103,0.45,0.229
51000,2.3228,2.02,0.028,0.09,0.111,0.092,0.466,0.213
52000,3.1718,2.13,0.032,0.083,0.105,0.091,0.478,0.211
53000,3.3366,2.05,0.023,0.077,0.12,0.092,0.484,0.204
54000,4.31,2.17,0.02,0.094,0.111,0.083,0.515,0.177
55000,2.1642,2.07,0.022,0.089,0.106,0.092,0.483,0.208
56000,2.564,2.07,0.034,0.08,0.106,0.078,0.484,0.218
57000,3.7702,2.08,0.027,0.071,0.105,0.083,0.496,0.218
58000,2.942,2.12,0.028,0.075,0.115,0.074,0.488,0.22
59000,1.1964,2.23,0.02,0.103,0.108,0.074,0.488,0.207
60000,4.946,2.09,0.019,0.095,0.091,0.075,0.53,0.19
61000,0.5734,2.2,0.029,0.088,0.078,0.079,0.541,0.185
62000,5.9526,2.17,0.021,0.108,0.083,0.065,0.52,0.203
63000,2.329,2.16,0.021,0.121,0.074,0.056,0.523,0.205
64000,2.5068,2.06,0.025,0.11,0.06,0.063,0.544,0.198
65000,1.6228,2.21,0.016,0.118,0.052,0.065,0.544,0.205
66000,3.4404,2.07,0.025,0.125,0.052,0.061,0.522,0.215
67000,3.788,2.1,0.025,0.123,0.05,0.047,0.547,0.208
68000,3.861,2.11,0.027,0.125,0.06,0.047,0.544,0.197
69000,-0.2772,2.09,0.026,0.121,0.059,0.057,0.537,0.2
70000,3.6266,2.04,0.034,0.142,0.038,0.047,0.545,0.194
71000,6.968,2.12,0.031,0.127,0.038,0.044,0.565,0.195
72000,0.6054,1.95,0.035,0.116,0.035,0.041,0.575,0.198
73000,2.364,2.05,0.031,0.123,0.054,0.042,0.554,0.196
74000,7.664,2.1,0.037,0.119,0.043,0.033,0.559,0.209
75000,4.675,2.14,0.027,0.129,0.041,0.039,0.551,0.213
76000,2.451,1.89,0.04,0.111,0.056,0.031,0.559,0.203
77000,1.924,2.18,0.042,0.105,0.055,0.03,0.567,0.201
78000,5.782,2.15,0.036,0.114,0.04,0.029,0.575,0.206
79000,3.6454,2.1,0.05,0.123,0.056,0.03,0.554,0.187
80000,4.024,2.11,0.056,0.115,0.054,0.031,0.559,0.185
81000,4.8324,2.08,0.051,0.11,0.044,0.034,0.563,0.198
82000,3.283,1.97,0.062,0.11,0.044,0.027,0.577,0.18
83000,3.8372,2.07,0.059,0.116,0.042,0.024,0.572,0.187
84000,3.6304,2.01,0.067,0.1,0.047,0.028,0.58,0.178
85000,0.719,2.05,0.062,0.12,0.035,0.025,0.568,0.19
86000,1.342,2.06,0.054,0.128,0.037,0.027,0.57,0.184
87000,1.872,1.96,0.082,0.105,0.033,0.028,0.584,0.168
88000,3.451,1.87,0.096,0.084,0.035,0.034,0.583,0.168
89000,3.289,2.07,0.073,0.116,0.035,0.027,0.567,0.182
90000,5.176,1.91,0.09,0.106,0.038,0.028,0.574,0.164
91000,4.989,2.09,0.077,0.109,0.034,0.023,0.573,0.184
92000,1.8112,1.97,0.08,0.105,0.036,0.02,0.58,0.179
93000,4.512,1.9,0.093,0.088,0.051,0.023,0.568,0.177
94000,4.054,2.03,0.068,0.095,0.051,0.027,0.571,0.188
95000,2.416,1.97,0.095,0.084,0.051,0.028,0.561,0.181
96000,4.215,1.89,0.115,0.081,0.042,0.023,0.572,0.167
97000,2.9382,1.97,0.109,0.075,0.051,0.021,0.577,0.167
98000,6.0672,2.03,0.091,0.102,0.036,0.025,0.574,0.172
99000,4.1776,1.88,0.081,0.089,0.05,0.031,0.562,0.187
100000,3.069,1.99,0.094,0.102,0.043,0.015,0.574,0.172
101000,1.709,1.9,0.096,0.077,0.04,0.033,0.598,0.156
102000,4.99,1.93,0.103,0.093,0.02,0.022,0.604,0.158
103000,2.38,1.94,0.106,0.087,0.042,0.021,0.586,0.158
104000,-1.5986,1.84,0.116,0.087,0.029,0.021,0.596,0.151
105000,1.787,1.78,0.121,0.079,0.035,0.023,0.6,0.142
106000,5.7736,1.97,0.124,0.075,0.036,0.025,0.593,0.147
107000,5.382,1.81,0.14,0.089,0.026,0.011,0.597,0.137
108000,1.661,1.77,0.139,0.08,0.031,0.021,0.583,0.146
109000,3.305,1.8,0.139,0.08,0.032,0.018,0.581,0.15
110000,4.9422,1.85,0.12,0.088,0.036,0.022,0.563,0.171
111000,-0.147,1.73,0.139,0.074,0.048,0.014,0.589,0.136
112000,2.058,1.76,0.156,0.08,0.02,0.022,0.582,0.14
113000,3.4744,1.76,0.139,0.087,0.034,0.013,0.582,0.145
114000,3.27,1.82,0.139,0.083,0.029,0.013,0.578,0.158
115000,2.627,1.81,0.145,0.083,0.028,0.018,0.57,0.156
116000,3.1772,1.76,0.141,0.081,0.029,0.017,0.577,0.155
117000,3.2,1.87,0.13,0.086,0.036,0.01,0.575,0.163
118000,3.058,1.81,0.144,0.084,0.022,0.012,0.584,0.154
119000,1.399,1.91,0.124,0.093,0.028,0.017,0.571,0.167
120000,2.154,1.67,0.179,0.071,0.021,0.016,0.591,0.122
121000,3.033,1.78,0.156,0.085,0.025,0.017,0.583,0.134
122000,3.201,1.89,0.145,0.097,0.014,0.012,0.582,0.15
123000,4.5,1.84,0.135,0.089,0.025,0.019,0.587,0.145
124000,4.734,1.76,0.154,0.089,0.025,0.012,0.588,0.132
125000,4.641,1.81,0.154,0.085,0.026,0.014,0.577,0.144
126000,3.079,1.89,0.151,0.093,0.019,0.008,0.598,0.131
127000,3.175,1.86,0.141,0.104,0.019,0.008,0.589,0.139
128000,1.576,1.87,0.143,0.089,0.027,0.011,0.588,0.142
129000,4.708,1.86,0.144,0.091,0.027,0.007,0.597,0.134
130000,3.919,1.82,0.148,0.104,0.027,0.016,0.558,0.147
131000,6.013,1.86,0.152,0.09,0.025,0.011,0.587,0.135
132000,2.201,1.86,0.143,0.111,0.021,0.007,0.58,0.138
133000,2.303,1.78,0.166,0.083,0.019,0.008,0.594,0.13
134000,2.734,1.78,0.161,0.087,0.033,0.007,0.568,0.144
135000,5.428,1.84,0.149,0.098,0.024,0.002,0.577,0.15
136000,2.66,1.71,0.159,0.086,0.029,0.005,0.574,0.147
137000,2.802,1.78,0.163,0.096,0.016,0.005,0.573,0.147
138000,6.945,1.78,0.141,0.102,0.025,0.011,0.572,0.149
139000,5.355,1.89,0.127,0.117,0.027,0.006,0.566,0.157
140000,0.7244,2.04,0.135,0.111,0.016,0.011,0.566,0.161
141000,4.035,1.81,0.144,0.107,0.021,0.007,0.577,0.144
142000,1.791,1.98,0.141,0.103,0.014,0.01,0.584,0.148
143000,2.604,1.9,0.128,0.107,0.025,0.007,0.586,0.147
144000,4.586,1.91,0.143,0.094,0.022,0.003,0.592,0.146
145000,1.855,1.9,0.12,0.108,0.023,0.011,0.566,0.172
146000,3.26,1.89,0.122,0.11,0.02,0.006,0.585,0.157
147000,3.5582,1.85,0.134,0.107,0.019,0.008,0.584,0.148
