timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1003521,0.0288,2.26,1.0,0.0,0.0,0.0,0.0,0.0
1004521,0.176,2.35,0.108,0.056,0.772,0.048,0.0,0.016
1005521,-0.656,2.36,0.115,0.046,0.773,0.059,0.0,0.007
1006521,0.792,2.28,0.11,0.048,0.757,0.061,0.002,0.022
1007521,-2.804,2.26,0.116,0.035,0.774,0.065,0.0,0.01
1008521,1.56,2.23,0.131,0.033,0.766,0.061,0.0,0.009
1009521,-1.78,2.29,0.112,0.043,0.771,0.061,0.001,0.012
1010521,1.212,2.22,0.121,0.046,0.759,0.059,0.0,0.015
1011521,0.956,2.13,0.127,0.039,0.767,0.057,0.0,0.01
1012521,-0.564,2.38,0.121,0.055,0.761,0.052,0.002,0.009
1013521,0.023,2.4,0.129,0.059,0.761,0.045,0.0,0.006
1014521,3.3296,2.29,0.128,0.053,0.75,0.048,0.0,0.021
1015521,0.0816,2.43,0.123,0.05,0.759,0.056,0.003,0.009
1016521,0.0776,2.35,0.11,0.042,0.771,0.062,0.0,0.015
1017521,-1.872,2.12,0.125,0.042,0.773,0.055,0.001,0.004
1018521,1.608,2.41,0.128,0.045,0.764,0.047,0.001,0.015
1019521,-0.816,2.19,0.136,0.045,0.759,0.049,0.001,0.01
1020521,-0.028,2.27,0.131,0.037,0.767,0.057,0.0,0.008
1021521,1.7376,2.28,0.137,0.033,0.762,0.057,0.0,0.011
1022521,0.976,2.45,0.128,0.049,0.763,0.051,0.001,0.008
1023521,2.632,2.43,0.111,0.047,0.778,0.055,0.001,0.008
1024521,0.348,2.28,0.116,0.052,0.774,0.051,0.0,0.007
1025521,-1.4786,2.49,0.122,0.047,0.761,0.059,0.003,0.008
1026521,-0.0192,2.3,0.138,0.049,0.755,0.046,0.002,0.01
1027521,-1.772,2.4,0.14,0.042,0.77,0.043,0.0,0.005
1028521,-0.376,2.39,0.125,0.046,0.769,0.052,0.0,0.008
1029521,2.6,2.44,0.12,0.054,0.762,0.052,0.0,0.012
1030521,0.172,2.33,0.134,0.044,0.765,0.052,0.0,0.005
1031521,-0.2434,2.24,0.152,0.037,0.755,0.046,0.0,0.01
1032521,-2.128,2.26,0.132,0.041,0.767,0.05,0.001,0.009
1033521,5.4,2.32,0.137,0.034,0.758,0.059,0.0,0.012
1034521,-1.228,2.28,0.141,0.036,0.764,0.05,0.001,0.008
1035521,1.396,2.24,0.135,0.046,0.759,0.047,0.001,0.012
1036521,0.6856,2.16,0.141,0.043,0.75,0.054,0.0,0.012
1037521,0.44,2.32,0.149,0.036,0.748,0.053,0.001,0.013
1038521,-0.4,2.27,0.143,0.038,0.754,0.05,0.0,0.015
1039521,-0.608,2.31,0.144,0.035,0.759,0.054,0.0,0.008
1040521,-2.244,2.0,0.155,0.029,0.751,0.051,0.003,0.011
1041521,-1.0684,2.21,0.132,0.048,0.75,0.051,0.001,0.018
1042521,-0.5684,2.19,0.13,0.04,0.747,0.066,0.002,0.015
1043521,1.196,2.24,0.125,0.039,0.761,0.064,0.001,0.01
