timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1000,-1.2824,1.7,0.185,0.16,0.175,0.153,0.16,0.167
2000,-3.6214,1.82,0.167,0.173,0.165,0.145,0.162,0.188
3000,0.6136,1.9,0.121,0.152,0.15,0.206,0.16,0.211
4000,-3.3792,1.83,0.137,0.187,0.136,0.215,0.153,0.172
5000,0.6546,1.84,0.116,0.149,0.14,0.236,0.152,0.207
6000,-3.4952,2.06,0.106,0.15,0.131,0.246,0.149,0.218
7000,-0.9082,1.87,0.098,0.165,0.172,0.216,0.131,0.218
8000,-2.9124,1.9,0.095,0.169,0.156,0.241,0.141,0.198
9000,-1.0178,1.9,0.071,0.17,0.173,0.218,0.162,0.206
10000,-0.153,1.87,0.066,0.161,0.137,0.255,0.187,0.194
11000,0.4736,1.93,0.078,0.135,0.188,0.232,0.16,0.207
12000,0.175,1.94,0.06,0.157,0.198,0.25,0.151,0.184
13000,0.6816,2.03,0.05,0.149,0.184,0.286,0.164,0.167
14000,-1.9336,1.93,0.057,0.195,0.175,0.27,0.141,0.162
15000,-3.7664,1.94,0.053,0.164,0.213,0.264,0.139,0.167
16000,-0.7066,2.11,0.036,0.151,0.203,0.265,0.166,0.179
17000,-1.1626,2.0,0.052,0.138,0.248,0.267,0.127,0.168
18000,-3.034,2.08,0.044,0.142,0.213,0.307,0.132,0.162
19000,-0.0534,2.01,0.029,0.12,0.234,0.32,0.138,0.159
20000,-0.1066,1.97,0.033,0.112,0.229,0.333,0.149,0.144
21000,0.3188,2.0,0.035,0.101,0.261,0.345,0.115,0.143
22000,1.0978,2.06,0.028,0.083,0.256,0.366,0.119,0.148
23000,0.2166,2.02,0.022,0.087,0.222,0.358,0.149,0.162
24000,2.6516,2.01,0.016,0.105,0.218,0.326,0.146,0.189
25000,-4.6022,2.12,0.021,0.09,0.239,0.32,0.152,0.178
26000,0.6888,2.0,0.02,0.092,0.283,0.263,0.16,0.182
27000,0.603,2.03,0.018,0.087,0.281,0.288,0.151,0.175
28000,0.6944,2.09,0.015,0.093,0.283,0.278,0.153,0.178
29000,1.1008,2.07,0.019,0.109,0.29,0.265,0.138,0.179
30000,-2.936,2.08,0.016,0.112,0.313,0.25,0.161,0.148
31000,-2.052,2.04,0.019,0.115,0.326,0.222,0.145,0.173
32000,4.6018,2.16,0.023,0.133,0.351,0.194,0.148,0.151
33000,-0.9876,1.95,0.02,0.127,0.328,0.211,0.16,0.154
34000,-0.6044,1.95,0.017,0.11,0.342,0.195,0.182,0.154
35000,0.8056,1.96,0.015,0.111,0.329,0.206,0.156,0.183
36000,-1.3672,2.02,0.016,0.11,0.301,0.226,0.147,0.2
37000,1.1344,1.87,0.026,0.098,0.305,0.206,0.152,0.213
38000,0.214,1.86,0.02,0.113,0.294,0.19,0.19,0.193
39000,0.148,1.99,0.012,0.107,0.296,0.189,0.179,0.217
40000,-0.327,1.89,0.02,0.114,0.255,0.182,0.177,0.252
41000,-0.1728,1.96,0.018,0.113,0.262,0.175,0.176,0.256
42000,-0.2108,1.98,0.016,0.156,0.258,0.173,0.172,0.225
43000,0.611,2.02,0.015,0.145,0.222,0.184,0.185,0.249
44000,-2.069,2.05,0.013,0.138,0.227,0.227,0.191,0.204
45000,-0.1256,2.02,0.014,0.126,0.266,0.214,0.169,0.211
46000,-1.3688,2.04,0.011,0.137,0.257,0.182,0.186,0.227
47000,-2.0336,2.02,0.01,0.131,0.259,0.167,0.189,0.244
48000,-2.2,2.15,0.009,0.174,0.241,0.145,0.22,0.211
49000,-1.1452,2.01,0.016,0.142,0.214,0.158,0.222,0.248
50000,0.3,2.06,0.014,0.123,0.246,0.164,0.226,0.227
51000,0.0724,1.94,0.017,0.113,0.237,0.178,0.224,0.231
52000,0.7024,1.99,0.012,0.127,0.229,0.184,0.239,0.209
53000,-1.3176,1.88,0.009,0.105,0.174,0.187,0.266,0.259
