timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1003521,0.6712,1.59,0.0,0.0,0.0,0.0,1.0,0.0
1004521,1.572,1.59,0.146,0.103,0.095,0.026,0.422,0.208
1005521,0.186,1.42,0.162,0.084,0.1,0.018,0.437,0.199
1006521,2.792,1.45,0.141,0.1,0.097,0.023,0.426,0.213
1007521,1.4192,1.47,0.17,0.09,0.072,0.027,0.446,0.195
1008521,0.694,1.49,0.146,0.082,0.089,0.022,0.445,0.216
1009521,0.028,1.48,0.171,0.085,0.085,0.018,0.434,0.207
1010521,0.534,1.51,0.153,0.09,0.087,0.028,0.431,0.211
1011521,-0.06,1.4,0.176,0.082,0.088,0.02,0.433,0.201
1012521,1.434,1.52,0.151,0.089,0.078,0.026,0.433,0.223
1013521,0.692,1.49,0.172,0.076,0.095,0.02,0.438,0.199
1014521,0.158,1.51,0.161,0.068,0.084,0.019,0.46,0.208
1015521,0.9072,1.49,0.169,0.068,0.069,0.019,0.455,0.22
1016521,1.514,1.57,0.161,0.074,0.082,0.011,0.447,0.225
1017521,-0.512,1.49,0.182,0.074,0.074,0.02,0.442,0.208
1018521,1.944,1.4,0.168,0.07,0.086,0.016,0.448,0.212
1019521,1.2372,1.38,0.165,0.069,0.069,0.027,0.446,0.224
1020521,1.798,1.39,0.176,0.071,0.096,0.009,0.432,0.216
1021521,0.058,1.56,0.166,0.066,0.089,0.009,0.442,0.228
1022521,1.19,1.43,0.153,0.081,0.089,0.019,0.437,0.221
1023521,0.818,1.36,0.164,0.074,0.088,0.021,0.443,0.21
1024521,-1.032,1.42,0.162,0.07,0.086,0.017,0.448,0.217
1025521,0.8752,1.5,0.137,0.075,0.077,0.022,0.453,0.236
1026521,-0.932,1.43,0.173,0.066,0.084,0.016,0.449,0.212
1027521,0.34,1.32,0.16,0.074,0.089,0.022,0.44,0.215
1028521,3.3764,1.42,0.152,0.068,0.086,0.02,0.449,0.225
1029521,-0.1448,1.48,0.163,0.076,0.092,0.019,0.442,0.208
1030521,1.15,1.45,0.157,0.084,0.098,0.013,0.435,0.213
1031521,-0.488,1.56,0.146,0.095,0.09,0.018,0.432,0.219
1032521,1.0112,1.46,0.17,0.08,0.089,0.013,0.437,0.211
1033521,2.752,1.44,0.172,0.069,0.084,0.016,0.45,0.209
1034521,1.706,1.52,0.166,0.077,0.095,0.015,0.433,0.214
1035521,0.934,1.5,0.14,0.094,0.081,0.025,0.432,0.228
1036521,1.4764,1.45,0.139,0.091,0.08,0.023,0.445,0.222
1037521,1.742,1.32,0.158,0.078,0.085,0.024,0.443,0.212
1038521,0.9344,1.49,0.145,0.095,0.081,0.027,0.427,0.225
1039521,0.628,1.52,0.162,0.08,0.077,0.02,0.436,0.225
1040521,-0.236,1.43,0.117,0.107,0.093,0.016,0.432,0.235
1041521,-0.14,1.47,0.144,0.093,0.093,0.012,0.433,0.225
1042521,0.682,1.48,0.136,0.088,0.094,0.012,0.441,0.229
1043521,-0.04,1.41,0.132,0.105,0.084,0.016,0.423,0.24
1044521,1.452,1.49,0.137,0.086,0.088,0.009,0.436,0.244
1045521,-0.41,1.48,0.157,0.091,0.074,0.019,0.427,0.232
1046521,1.392,1.48,0.12,0.113,0.095,0.015,0.416,0.241
1047521,0.468,1.45,0.12,0.087,0.088,0.02,0.438,0.247
1048521,2.074,1.48,0.132,0.096,0.083,0.014,0.438,0.237
1049521,1.7132,1.54,0.114,0.117,0.087,0.027,0.414,0.241
1050521,1.904,1.51,0.135,0.096,0.093,0.023,0.428,0.225
1051521,0.746,1.54,0.125,0.094,0.091,0.023,0.437,0.23
1052521,0.842,1.48,0.134,0.118,0.095,0.024,0.401,0.228
1053521,0.7924,1.58,0.122,0.101,0.085,0.021,0.43,0.241
1054521,0.7952,1.51,0.143,0.112,0.089,0.019,0.411,0.226
1055521,1.4156,1.48,0.116,0.101,0.089,0.024,0.424,0.246
1056521,0.318,1.64,0.13,0.105,0.079,0.02,0.428,0.238
1057521,-0.55,1.54,0.123,0.104,0.097,0.021,0.42,0.235
1058521,0.988,1.57,0.11,0.105,0.097,0.02,0.423,0.245
1059521,1.3632,1.54,0.132,0.087,0.091,0.022,0.437,0.231
1060521,0.38,1.38,0.156,0.095,0.086,0.018,0.419,0.226
1061521,0.9156,1.47,0.155,0.091,0.074,0.015,0.434,0.231
1062521,1.3832,1.48,0.138,0.088,0.07,0.03,0.433,0.241
1063521,1.432,1.48,0.154,0.084,0.067,0.021,0.446,0.228
1064521,0.03,1.45,0.17,0.083,0.063,0.024,0.44,0.22
1065521,-0.872,1.47,0.136,0.098,0.084,0.026,0.43,0.226
1066521,-0.912,1.57,0.153,0.084,0.07,0.027,0.433,0.233
1067521,0.2052,1.49,0.123,0.097,0.072,0.025,0.428,0.255
1068521,2.9,1.47,0.138,0.105,0.063,0.028,0.414,0.252
1069521,0.32,1.48,0.139,0.097,0.056,0.034,0.429,0.245
1070521,1.8432,1.54,0.151,0.076,0.07,0.03,0.443,0.23
1071521,2.272,1.55,0.127,0.087,0.073,0.029,0.434,0.25
1072521,2.6876,1.44,0.135,0.099,0.083,0.027,0.417,0.239
1073521,0.902,1.51,0.141,0.106,0.083,0.027,0.413,0.23
1074521,1.2332,1.47,0.126,0.087,0.093,0.015,0.435,0.244
1075521,2.7,1.48,0.136,0.092,0.077,0.025,0.439,0.231
1076521,1.65,1.51,0.135,0.098,0.08,0.031,0.432,0.224
1077521,1.464,1.5,0.144,0.076,0.074,0.025,0.444,0.237
1078521,1.014,1.5,0.16,0.093,0.088,0.029,0.416,0.214
1079521,0.9692,1.58,0.149,0.08,0.086,0.014,0.431,0.24
1080521,1.788,1.53,0.155,0.085,0.081,0.021,0.425,0.233
1081521,0.084,1.44,0.149,0.066,0.082,0.014,0.442,0.247
1082521,1.7012,1.58,0.147,0.088,0.089,0.025,0.426,0.225
1083521,0.07,1.51,0.126,0.097,0.095,0.024,0.423,0.235
1084521,2.0852,1.57,0.144,0.078,0.087,0.025,0.439,0.227
1085521,2.8492,1.52,0.124,0.088,0.09,0.023,0.441,0.234
1086521,1.6152,1.45,0.159,0.073,0.071,0.028,0.444,0.225
1087521,1.21,1.45,0.14,0.081,0.083,0.03,0.423,0.243
1088521,0.7932,1.6,0.136,0.085,0.069,0.028,0.428,0.254
1089521,1.296,1.52,0.134,0.08,0.088,0.022,0.442,0.234
1090521,-0.102,1.47,0.139,0.079,0.1,0.019,0.439,0.224
1091521,1.21,1.54,0.16,0.083,0.071,0.018,0.433,0.235
1092521,0.45,1.4,0.161,0.079,0.075,0.024,0.441,0.22
1093521,0.702,1.45,0.141,0.073,0.08,0.016,0.445,0.245
1094521,-0.824,1.63,0.129,0.08,0.073,0.018,0.44,0.26
1095521,1.0772,1.5,0.156,0.081,0.083,0.02,0.43,0.23
1096521,1.238,1.46,0.135,0.089,0.09,0.024,0.432,0.23
1097521,-0.034,1.57,0.138,0.083,0.095,0.026,0.43,0.228
1098521,1.1224,1.47,0.142,0.076,0.081,0.022,0.45,0.229
1099521,2.104,1.34,0.2,0.069,0.078,0.026,0.433,0.194
1100521,1.102,1.34,0.155,0.072,0.088,0.021,0.439,0.225
1101521,0.176,1.43,0.173,0.073,0.086,0.019,0.436,0.213
1102521,-0.164,1.52,0.145,0.081,0.091,0.02,0.427,0.236
1103521,1.7472,1.4,0.159,0.078,0.088,0.021,0.435,0.219
1104521,-0.258,1.52,0.16,0.06,0.075,0.019,0.459,0.227
1105521,1.052,1.52,0.164,0.075,0.088,0.026,0.434,0.213
1106521,2.458,1.5,0.146,0.077,0.099,0.023,0.431,0.224
1107521,0.474,1.43,0.179,0.072,0.082,0.021,0.44,0.206
1108521,-0.828,1.5,0.146,0.075,0.088,0.022,0.44,0.229
1109521,1.0,1.5,0.138,0.091,0.097,0.03,0.426,0.218
1110521,0.004,1.42,0.171,0.072,0.085,0.02,0.442,0.21
1111521,1.314,1.44,0.161,0.097,0.096,0.019,0.427,0.2
1112521,1.328,1.47,0.17,0.073,0.073,0.024,0.442,0.218
1113521,0.848,1.44,0.155,0.092,0.091,0.022,0.43,0.21
1114521,1.774,1.46,0.161,0.071,0.08,0.016,0.439,0.233
1115521,1.7456,1.45,0.159,0.077,0.079,0.03,0.438,0.217
1116521,1.206,1.49,0.122,0.103,0.085,0.033,0.431,0.226
1117521,0.66,1.52,0.15,0.087,0.097,0.022,0.427,0.217
1118521,0.022,1.47,0.15,0.092,0.09,0.027,0.418,0.223
1119521,0.868,1.43,0.162,0.065,0.067,0.021,0.464,0.221
1120521,0.996,1.46,0.163,0.09,0.082,0.025,0.434,0.206
1121521,0.12,1.48,0.137,0.096,0.078,0.036,0.43,0.223
1122521,1.646,1.37,0.164,0.087,0.067,0.027,0.444,0.211
1123521,2.0056,1.49,0.15,0.09,0.072,0.038,0.434,0.216
1124521,1.132,1.53,0.131,0.093,0.069,0.043,0.435,0.229
1125521,-0.8988,1.56,0.141,0.104,0.068,0.029,0.434,0.224
1126521,-0.658,1.48,0.16,0.079,0.064,0.032,0.44,0.225
1127521,1.916,1.52,0.129,0.094,0.071,0.041,0.422,0.243
1128521,1.8472,1.38,0.156,0.068,0.081,0.03,0.44,0.225
1129521,1.6812,1.49,0.118,0.086,0.072,0.051,0.439,0.234
1130521,1.674,1.41,0.143,0.077,0.076,0.033,0.442,0.229
1131521,1.716,1.47,0.103,0.095,0.077,0.042,0.442,0.241
1132521,0.4704,1.49,0.139,0.081,0.07,0.045,0.426,0.239
1133521,1.114,1.38,0.138,0.074,0.075,0.041,0.441,0.231
1134521,0.222,1.42,0.116,0.077,0.059,0.043,0.452,0.253
1135521,-0.834,1.54,0.113,0.089,0.079,0.055,0.431,0.233
1136521,0.942,1.38,0.144,0.096,0.091,0.041,0.426,0.202
1137521,-0.6608,1.57,0.142,0.092,0.091,0.044,0.427,0.204
1138521,0.9,1.46,0.138,0.081,0.071,0.047,0.435,0.228
1139521,1.576,1.53,0.125,0.08,0.076,0.037,0.438,0.244
1140521,1.028,1.4,0.14,0.082,0.077,0.029,0.44,0.232
1141521,0.338,1.42,0.135,0.076,0.076,0.022,0.45,0.241
1142521,0.1932,1.4,0.134,0.084,0.085,0.029,0.43,0.238
1143521,1.948,1.51,0.144,0.079,0.098,0.021,0.429,0.229
1144521,1.624,1.46,0.128,0.085,0.09,0.025,0.437,0.235
1145521,1.628,1.48,0.15,0.083,0.094,0.025,0.432,0.216
1146521,1.87,1.44,0.147,0.089,0.099,0.02,0.419,0.226
1147521,-0.014,1.51,0.124,0.091,0.11,0.023,0.431,0.221
1148521,1.1312,1.55,0.131,0.088,0.099,0.02,0.433,0.229
1149521,-0.722,1.43,0.119,0.091,0.087,0.028,0.446,0.229
1150521,1.364,1.51,0.118,0.09,0.121,0.014,0.426,0.231
1151521,-0.946,1.45,0.124,0.091,0.102,0.022,0.428,0.233
1152521,1.186,1.53,0.138,0.101,0.096,0.019,0.435,0.211
1153521,-0.584,1.49,0.135,0.08,0.077,0.026,0.447,0.235
1154521,1.9692,1.47,0.132,0.092,0.09,0.032,0.425,0.229
1155521,-0.5528,1.54,0.128,0.104,0.097,0.025,0.421,0.225
1156521,-0.292,1.54,0.121,0.096,0.086,0.024,0.442,0.231
1157521,2.56,1.53,0.121,0.093,0.09,0.023,0.441,0.232
1158521,1.304,1.47,0.135,0.091,0.087,0.023,0.441,0.223
1159521,1.312,1.56,0.122,0.081,0.082,0.032,0.446,0.237
1160521,-0.426,1.58,0.133,0.095,0.096,0.035,0.42,0.221
1161521,1.022,1.51,0.136,0.086,0.089,0.025,0.446,0.218
1162521,1.316,1.59,0.146,0.088,0.084,0.033,0.428,0.221
1163521,0.098,1.48,0.123,0.09,0.1,0.033,0.425,0.229
1164521,0.422,1.43,0.126,0.104,0.098,0.031,0.424,0.217
1165521,0.5432,1.48,0.131,0.097,0.084,0.037,0.429,0.222
1166521,1.06,1.44,0.144,0.086,0.1,0.023,0.439,0.208
1167521,1.2812,1.44,0.13,0.089,0.093,0.028,0.439,0.221
1168521,0.414,1.5,0.146,0.081,0.103,0.021,0.424,0.225
1169521,1.174,1.46,0.131,0.096,0.105,0.017,0.434,0.217
1170521,1.168,1.49,0.149,0.088,0.106,0.012,0.431,0.214
1171521,0.094,1.48,0.143,0.091,0.106,0.018,0.43,0.212
1172521,0.0432,1.54,0.148,0.091,0.105,0.02,0.428,0.208
1173521,1.036,1.48,0.142,0.085,0.112,0.014,0.43,0.217
1174521,1.134,1.44,0.147,0.102,0.1,0.037,0.426,0.188
1175521,-0.198,1.46,0.162,0.091,0.111,0.025,0.424,0.187
1176521,-0.914,1.54,0.147,0.081,0.106,0.03,0.427,0.209
1177521,-0.566,1.51,0.163,0.07,0.081,0.032,0.436,0.218
1178521,1.556,1.52,0.159,0.086,0.096,0.034,0.43,0.195
