timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1000,-1.9742,1.91,0.166,0.169,0.191,0.147,0.162,0.165
2000,-0.4142,2.01,0.173,0.158,0.153,0.177,0.18,0.159
3000,-0.5666,2.17,0.13,0.204,0.17,0.193,0.165,0.138
4000,1.383,1.92,0.134,0.149,0.199,0.205,0.153,0.16
5000,1.5096,1.97,0.129,0.194,0.164,0.175,0.189,0.149
6000,-1.8356,2.09,0.12,0.173,0.185,0.207,0.16,0.155
7000,-1.0632,2.01,0.098,0.18,0.203,0.196,0.162,0.161
8000,-0.753,2.03,0.078,0.185,0.188,0.207,0.187,0.155
9000,0.6704,2.05,0.056,0.2,0.187,0.214,0.204,0.139
10000,0.746,2.03,0.068,0.2,0.18,0.248,0.19,0.114
11000,-0.1868,1.9,0.074,0.173,0.19,0.214,0.184,0.165
12000,-0.538,2.07,0.058,0.164,0.153,0.271,0.202,0.152
13000,2.8822,1.8,0.078,0.196,0.171,0.23,0.174,0.151
14000,-3.4038,1.9,0.068,0.191,0.17,0.227,0.191,0.153
15000,-1.6942,2.14,0.071,0.191,0.164,0.22,0.203,0.151
16000,2.174,2.07,0.061,0.164,0.162,0.235,0.201,0.177
17000,-0.9954,1.97,0.066,0.181,0.165,0.212,0.185,0.191
18000,0.1872,2.04,0.047,0.175,0.188,0.21,0.188,0.192
19000,0.863,1.92,0.038,0.174,0.169,0.232,0.21,0.177
20000,-1.5028,1.94,0.068,0.172,0.195,0.21,0.19,0.165
21000,2.3516,1.79,0.058,0.165,0.205,0.195,0.179,0.198
22000,-0.5086,1.97,0.049,0.166,0.219,0.193,0.179,0.194
23000,-0.6622,1.86,0.045,0.175,0.182,0.198,0.178,0.222
24000,1.6372,1.87,0.041,0.165,0.172,0.205,0.194,0.223
25000,0.4702,1.88,0.059,0.17,0.15,0.211,0.19,0.22
26000,0.021,1.85,0.039,0.162,0.164,0.212,0.205,0.218
27000,-1.9928,2.06,0.044,0.175,0.163,0.198,0.195,0.225
28000,0.5568,1.92,0.036,0.165,0.163,0.176,0.213,0.247
29000,-0.5012,1.89,0.032,0.174,0.161,0.192,0.209,0.232
30000,-0.2634,1.69,0.06,0.177,0.2,0.138,0.172,0.253
31000,0.5342,1.97,0.046,0.18,0.189,0.145,0.178,0.262
32000,1.7616,1.74,0.041,0.185,0.16,0.165,0.188,0.261
33000,-0.9172,1.9,0.034,0.203,0.145,0.145,0.192,0.281
34000,1.7732,1.83,0.038,0.182,0.138,0.156,0.177,0.309
35000,-0.4538,2.04,0.037,0.199,0.138,0.164,0.164,0.298
36000,0.592,1.83,0.041,0.218,0.136,0.152,0.16,0.293
37000,0.5398,1.92,0.049,0.216,0.145,0.136,0.171,0.283
38000,1.2502,1.85,0.04,0.259,0.138,0.141,0.152,0.27
39000,3.0658,1.85,0.029,0.248,0.144,0.148,0.159,0.272
40000,1.315,1.92,0.037,0.23,0.138,0.129,0.17,0.296
41000,2.0674,1.78,0.036,0.24,0.149,0.113,0.178,0.284
42000,-2.6372,1.83,0.021,0.249,0.149,0.12,0.149,0.312
43000,2.311,1.81,0.025,0.24,0.159,0.133,0.151,0.292
44000,-0.2136,1.65,0.024,0.247,0.132,0.107,0.143,0.347
45000,0.1304,1.76,0.027,0.232,0.132,0.121,0.157,0.331
46000,1.4392,1.94,0.022,0.269,0.148,0.116,0.14,0.305
47000,-1.4366,1.72,0.021,0.272,0.15,0.099,0.145,0.313
48000,-2.2936,1.8,0.015,0.256,0.142,0.098,0.174,0.315
49000,3.132,1.86,0.015,0.239,0.144,0.106,0.174,0.322
50000,1.174,1.8,0.022,0.249,0.139,0.098,0.185,0.307
51000,-2.3816,1.85,0.013,0.247,0.123,0.094,0.206,0.317
52000,-0.3708,1.77,0.01,0.259,0.117,0.083,0.194,0.337
53000,-1.1486,1.76,0.012,0.267,0.102,0.07,0.225,0.324
54000,0.5288,1.87,0.01,0.258,0.107,0.074,0.22,0.331
55000,0.0892,1.75,0.015,0.254,0.108,0.075,0.242,0.306
56000,2.7904,1.81,0.015,0.251,0.105,0.077,0.236,0.316
57000,-1.1504,1.83,0.013,0.248,0.092,0.07,0.254,0.323
58000,-1.4884,1.86,0.011,0.257,0.093,0.067,0.257,0.315
59000,0.0516,1.76,0.01,0.255,0.091,0.066,0.266,0.312
60000,1.2108,1.69,0.013,0.266,0.091,0.058,0.251,0.321
61000,1.022,1.72,0.012,0.274,0.086,0.056,0.246,0.326
62000,3.6382,1.76,0.011,0.256,0.101,0.061,0.253,0.318
63000,0.7948,1.81,0.013,0.279,0.091,0.053,0.252,0.312
64000,2.124,1.72,0.009,0.266,0.103,0.054,0.258,0.31
65000,1.2284,1.79,0.011,0.245,0.109,0.065,0.255,0.315
66000,0.3082,1.88,0.008,0.265,0.103,0.061,0.257,0.306
67000,1.1562,1.97,0.008,0.262,0.094,0.066,0.254,0.316
68000,0.6612,1.91,0.004,0.286,0.091,0.056,0.261,0.302
69000,0.6052,1.94,0.005,0.253,0.103,0.056,0.258,0.325
70000,3.396,1.74,0.008,0.249,0.11,0.051,0.272,0.31
71000,0.5012,1.91,0.01,0.245,0.091,0.057,0.285,0.312
72000,0.9746,1.81,0.003,0.248,0.099,0.057,0.275,0.318
73000,-1.5328,1.95,0.005,0.268,0.087,0.064,0.257,0.319
74000,-0.5056,1.87,0.008,0.266,0.103,0.057,0.25,0.316
75000,4.232,1.76,0.007,0.256,0.104,0.067,0.229,0.337
76000,-0.8088,1.83,0.008,0.275,0.092,0.072,0.236,0.317
77000,1.6892,1.77,0.003,0.263,0.09,0.074,0.25,0.32
78000,1.351,1.86,0.005,0.262,0.096,0.06,0.254,0.323
79000,0.6702,1.85,0.005,0.259,0.066,0.068,0.281,0.321
80000,0.366,1.77,0.005,0.25,0.092,0.047,0.269,0.337
81000,0.606,1.86,0.014,0.278,0.067,0.054,0.247,0.34
82000,2.6858,1.88,0.002,0.266,0.074,0.053,0.253,0.352
83000,1.756,1.83,0.003,0.287,0.051,0.049,0.251,0.359
84000,1.992,1.69,0.005,0.273,0.058,0.039,0.275,0.35
85000,1.34,1.87,0.009,0.276,0.056,0.051,0.265,0.343
86000,-0.9662,1.81,0.008,0.271,0.048,0.057,0.271,0.345
87000,2.938,1.77,0.007,0.262,0.041,0.054,0.286,0.35
88000,0.0176,1.89,0.004,0.282,0.04,0.042,0.272,0.36
89000,0.334,1.8,0.004,0.287,0.05,0.028,0.283,0.348
90000,4.466,1.76,0.01,0.249,0.053,0.037,0.3,0.351
91000,3.2972,1.74,0.006,0.259,0.036,0.035,0.296,0.368
92000,-0.398,1.8,0.002,0.28,0.036,0.036,0.291,0.355
93000,-0.5448,1.8,0.004,0.275,0.039,0.03,0.285,0.367
94000,-0.464,1.84,0.005,0.263,0.041,0.032,0.294,0.365
95000,3.314,1.73,0.004,0.249,0.046,0.031,0.296,0.374
96000,0.0524,1.79,0.007,0.256,0.051,0.032,0.288,0.366
97000,1.1392,1.8,0.004,0.26,0.045,0.028,0.297,0.366
98000,-0.5628,1.74,0.002,0.258,0.051,0.03,0.283,0.376
99000,2.498,1.83,0.003,0.255,0.037,0.025,0.308,0.372
100000,-0.9728,1.76,0.005,0.259,0.031,0.027,0.299,0.379
101000,1.3492,1.88,0.006,0.233,0.044,0.028,0.322,0.367
102000,-1.0502,1.78,0.005,0.238,0.048,0.024,0.312,0.373
103000,2.166,1.76,0.003,0.259,0.024,0.03,0.301,0.383
104000,3.5112,1.73,0.006,0.242,0.042,0.02,0.298,0.392
105000,-0.876,1.65,0.006,0.243,0.03,0.023,0.321,0.377
106000,-0.1468,1.74,0.007,0.231,0.047,0.028,0.316,0.371
107000,3.8904,1.81,0.002,0.231,0.037,0.031,0.322,0.377
108000,0.728,1.72,0.002,0.241,0.034,0.027,0.315,0.381
109000,0.534,1.85,0.002,0.242,0.042,0.032,0.306,0.376
110000,0.8192,1.81,0.006,0.225,0.053,0.024,0.314,0.378
111000,1.7244,1.74,0.002,0.226,0.059,0.022,0.307,0.384
112000,0.318,1.71,0.001,0.228,0.051,0.031,0.305,0.384
113000,1.012,1.76,0.005,0.225,0.046,0.031,0.32,0.373
114000,-0.3408,1.74,0.0,0.225,0.052,0.027,0.311,0.385
115000,3.096,1.77,0.002,0.236,0.055,0.031,0.311,0.365
116000,2.318,1.69,0.006,0.245,0.06,0.025,0.286,0.378
117000,0.824,1.76,0.001,0.232,0.036,0.025,0.319,0.387
118000,2.196,1.79,0.002,0.231,0.063,0.036,0.305,0.363
119000,2.907,1.85,0.003,0.229,0.075,0.034,0.29,0.369
120000,1.0392,1.79,0.0,0.221,0.056,0.029,0.318,0.376
121000,0.324,1.79,0.001,0.241,0.057,0.015,0.313,0.373
122000,0.254,1.71,0.002,0.222,0.055,0.027,0.313,0.381
123000,1.8572,1.73,0.001,0.231,0.061,0.023,0.303,0.381
124000,0.6192,1.83,0.004,0.222,0.053,0.024,0.324,0.373
125000,-0.018,1.76,0.001,0.236,0.053,0.024,0.313,0.373
126000,-1.3808,1.74,0.004,0.211,0.043,0.028,0.34,0.374
127000,1.9732,1.78,0.001,0.213,0.041,0.019,0.337,0.389
128000,1.5884,1.88,0.001,0.216,0.035,0.017,0.344,0.387
129000,0.5484,1.71,0.0,0.218,0.044,0.026,0.344,0.368
130000,-0.232,1.78,0.001,0.222,0.028,0.017,0.352,0.38
131000,0.68,1.75,0.002,0.216,0.032,0.011,0.36,0.379
132000,-0.1276,1.78,0.001,0.205,0.03,0.016,0.355,0.393
133000,0.426,1.79,0.001,0.221,0.029,0.018,0.335,0.396
134000,1.6072,1.81,0.0,0.219,0.031,0.018,0.353,0.379
135000,4.128,1.81,0.003,0.212,0.036,0.022,0.329,0.398
136000,1.736,1.68,0.002,0.202,0.019,0.015,0.376,0.386
137000,2.352,1.67,0.0,0.215,0.018,0.011,0.359,0.397
138000,-0.592,1.81,0.0,0.215,0.024,0.019,0.35,0.392
139000,1.112,1.78,0.0,0.215,0.03,0.012,0.353,0.39
140000,1.6958,1.7,0.004,0.206,0.026,0.015,0.349,0.4
141000,1.994,1.8,0.001,0.223,0.026,0.017,0.341,0.392
142000,2.1212,1.76,0.001,0.207,0.029,0.023,0.346,0.394
143000,-0.628,1.74,0.0,0.221,0.016,0.016,0.339,0.408
144000,0.204,1.79,0.001,0.22,0.028,0.011,0.345,0.395
145000,1.904,1.7,0.003,0.208,0.034,0.03,0.342,0.383
146000,0.54,1.72,0.003,0.194,0.028,0.018,0.367,0.39
147000,2.3852,1.79,0.0,0.204,0.034,0.018,0.354,0.39
148000,0.77,1.77,0.0,0.207,0.029,0.011,0.364,0.389
149000,1.3104,1.79,0.0,0.212,0.036,0.011,0.344,0.397
150000,-0.032,1.77,0.001,0.198,0.042,0.02,0.343,0.396
151000,1.986,1.81,0.0,0.216,0.032,0.012,0.338,0.402
152000,0.2384,1.7,0.0,0.209,0.034,0.014,0.338,0.405
153000,2.7652,1.71,0.001,0.196,0.035,0.01,0.349,0.409
154000,-0.776,1.76,0.0,0.203,0.032,0.003,0.351,0.411
155000,2.3612,1.77,0.0,0.199,0.045,0.014,0.352,0.39
156000,2.192,1.7,0.003,0.188,0.037,0.008,0.363,0.401
157000,1.08,1.72,0.001,0.202,0.031,0.015,0.341,0.41
158000,-1.024,1.74,0.0,0.198,0.032,0.011,0.357,0.402
159000,2.232,1.72,0.0,0.197,0.03,0.011,0.362,0.4
160000,1.4,1.76,0.001,0.203,0.038,0.007,0.351,0.4
161000,-0.776,1.81,0.001,0.209,0.036,0.007,0.353,0.394
162000,-0.382,1.78,0.0,0.213,0.035,0.015,0.347,0.39
163000,1.934,1.78,0.002,0.199,0.045,0.006,0.344,0.404
164000,1.54,1.84,0.002,0.193,0.034,0.011,0.356,0.404
165000,2.358,1.79,0.0,0.21,0.029,0.01,0.353,0.398
166000,0.546,1.76,0.0,0.199,0.034,0.012,0.353,0.402
167000,3.726,1.74,0.002,0.187,0.033,0.012,0.368,0.398
168000,0.98,1.83,0.0,0.196,0.025,0.014,0.363,0.402
169000,4.0332,1.76,0.0,0.208,0.044,0.014,0.35,0.384
170000,3.096,1.72,0.001,0.188,0.035,0.005,0.376,0.395
171000,1.688,1.8,0.001,0.189,0.044,0.007,0.364,0.395
172000,4.516,1.75,0.0,0.202,0.031,0.014,0.359,0.394
173000,1.288,1.8,0.001,0.204,0.053,0.01,0.346,0.386
174000,-0.224,1.79,0.001,0.205,0.052,0.015,0.347,0.38
175000,1.6372,1.7,0.003,0.2,0.05,0.01,0.352,0.385
176000,0.764,1.73,0.002,0.21,0.035,0.012,0.353,0.388
177000,0.404,1.79,0.0,0.191,0.044,0.01,0.379,0.376
178000,1.1512,1.8,0.0,0.201,0.043,0.017,0.346,0.393
179000,1.538,1.75,0.001,0.207,0.052,0.017,0.347,0.376
180000,1.35,1.75,0.0,0.218,0.048,0.009,0.352,0.373
181000,-0.124,1.8,0.0,0.173,0.052,0.013,0.391,0.371
182000,1.1498,1.77,0.001,0.201,0.045,0.011,0.363,0.379
183000,2.114,1.76,0.0,0.206,0.053,0.017,0.359,0.365
184000,0.964,1.73,0.0,0.206,0.045,0.011,0.368,0.37
185000,0.2052,1.76,0.001,0.201,0.045,0.012,0.359,0.382
186000,0.0164,1.71,0.001,0.189,0.057,0.011,0.371,0.371
187000,0.4172,1.74,0.0,0.196,0.037,0.013,0.37,0.384
188000,1.9012,1.76,0.0,0.176,0.044,0.016,0.379,0.385
189000,-0.5068,1.82,0.0,0.195,0.049,0.01,0.357,0.389
190000,1.9412,1.77,0.001,0.202,0.043,0.007,0.357,0.39
191000,0.544,1.79,0.001,0.193,0.04,0.01,0.365,0.391
192000,1.142,1.82,0.0,0.179,0.032,0.012,0.38,0.397
193000,2.348,1.74,0.002,0.188,0.03,0.009,0.382,0.389
194000,0.854,1.77,0.0,0.191,0.031,0.007,0.383,0.388
195000,1.252,1.78,0.002,0.197,0.034,0.01,0.358,0.399
196000,2.108,1.75,0.0,0.18,0.031,0.011,0.379,0.399
197000,2.7778,1.81,0.0,0.199,0.029,0.006,0.358,0.408
198000,2.5772,1.82,0.0,0.194,0.037,0.009,0.368,0.392
199000,0.2004,1.69,0.0,0.197,0.035,0.006,0.367,0.395
200000,-0.706,1.83,0.0,0.206,0.03,0.005,0.356,0.403
201000,2.464,1.68,0.0,0.199,0.031,0.012,0.366,0.392
202000,0.2612,1.74,0.0,0.201,0.027,0.011,0.359,0.402
203000,2.31,1.8,0.0,0.206,0.034,0.008,0.359,0.393
204000,-0.888,1.88,0.0,0.199,0.033,0.009,0.361,0.398
205000,-0.37,1.76,0.001,0.193,0.039,0.011,0.361,0.395
206000,0.234,1.72,0.003,0.187,0.03,0.008,0.373,0.399
207000,1.134,1.79,0.0,0.207,0.025,0.004,0.369,0.395
208000,-0.088,1.8,0.0,0.197,0.035,0.004,0.366,0.398
209000,0.849,1.8,0.0,0.206,0.027,0.007,0.354,0.406
210000,1.276,1.75,0.0,0.2,0.029,0.007,0.361,0.403
211000,3.734,1.77,0.001,0.198,0.029,0.009,0.364,0.399
212000,-1.876,1.77,0.0,0.201,0.024,0.004,0.363,0.408
213000,0.4652,1.73,0.0,0.196,0.03,0.004,0.366,0.404
214000,0.25,1.8,0.001,0.197,0.024,0.005,0.365,0.408
215000,0.312,1.75,0.0,0.204,0.039,0.008,0.358,0.391
216000,1.744,1.77,0.002,0.194,0.019,0.004,0.371,0.41
217000,1.9112,1.78,0.0,0.188,0.023,0.005,0.374,0.41
218000,-0.874,1.76,0.0,0.179,0.021,0.006,0.387,0.407
219000,2.554,1.76,0.0,0.177,0.025,0.008,0.384,0.406
220000,-1.3108,1.78,0.002,0.199,0.02,0.005,0.361,0.413
221000,2.654,1.75,0.002,0.188,0.033,0.007,0.356,0.414
222000,0.6292,1.74,0.0,0.183,0.019,0.005,0.369,0.424
223000,0.37,1.81,0.0,0.202,0.018,0.004,0.361,0.415
224000,-0.618,1.73,0.0,0.189,0.02,0.004,0.366,0.421
225000,2.942,1.77,0.001,0.191,0.022,0.004,0.369,0.413
226000,4.1272,1.75,0.0,0.19,0.018,0.005,0.374,0.413
227000,4.0732,1.8,0.0,0.191,0.016,0.006,0.373,0.414
228000,3.7092,1.69,0.0,0.194,0.018,0.008,0.381,0.399
229000,0.885,1.78,0.001,0.193,0.016,0.007,0.377,0.406
230000,1.248,1.79,0.001,0.193,0.012,0.005,0.373,0.416
231000,-0.068,1.79,0.0,0.191,0.017,0.003,0.367,0.422
232000,2.538,1.71,0.0,0.204,0.012,0.006,0.356,0.422
