timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1003521,1.828,3.24,0.0,1.0,0.0,0.0,0.0,0.0
1004521,2.8978,3.17,0.19,0.352,0.141,0.156,0.04,0.121
1005521,3.2692,3.25,0.183,0.38,0.148,0.156,0.028,0.105
1006521,1.32,3.07,0.213,0.356,0.133,0.161,0.024,0.113
1007521,1.7224,3.15,0.193,0.357,0.139,0.168,0.033,0.11
1008521,1.8014,3.08,0.19,0.356,0.141,0.159,0.033,0.121
1009521,-0.3004,3.14,0.188,0.366,0.137,0.163,0.023,0.123
1010521,0.9256,3.22,0.199,0.344,0.138,0.174,0.029,0.116
1011521,0.2074,3.12,0.205,0.361,0.15,0.155,0.023,0.106
1012521,2.5036,3.04,0.207,0.357,0.125,0.164,0.034,0.113
1013521,1.575,3.01,0.205,0.379,0.129,0.152,0.024,0.111
1014521,3.3232,3.2,0.189,0.349,0.146,0.161,0.045,0.11
1015521,1.5878,3.18,0.19,0.35,0.129,0.164,0.047,0.12
1016521,2.5084,3.13,0.199,0.337,0.15,0.157,0.044,0.113
1017521,1.8984,3.04,0.202,0.363,0.133,0.154,0.044,0.104
1018521,1.6318,2.95,0.198,0.342,0.145,0.161,0.037,0.117
1019521,0.689,3.0,0.213,0.381,0.136,0.151,0.025,0.094
1020521,3.012,3.13,0.198,0.37,0.139,0.145,0.031,0.117
1021521,2.5074,3.1,0.196,0.377,0.129,0.151,0.032,0.115
1022521,2.5098,3.2,0.213,0.371,0.131,0.15,0.026,0.109
1023521,2.2356,2.96,0.176,0.375,0.15,0.169,0.031,0.099
1024521,3.2816,3.23,0.199,0.356,0.146,0.157,0.03,0.112
1025521,-0.9102,3.17,0.211,0.351,0.131,0.148,0.049,0.11
1026521,-0.965,3.18,0.19,0.341,0.162,0.158,0.039,0.11
1027521,4.1556,3.18,0.207,0.36,0.131,0.17,0.028,0.104
1028521,1.8306,3.2,0.184,0.352,0.134,0.184,0.031,0.115
1029521,0.8596,3.17,0.208,0.373,0.146,0.141,0.029,0.103
1030521,2.3114,3.04,0.197,0.347,0.149,0.164,0.027,0.116
1031521,1.6884,3.1,0.191,0.347,0.145,0.165,0.034,0.118
1032521,1.7116,3.07,0.195,0.379,0.15,0.151,0.023,0.102
1033521,2.879,3.14,0.208,0.353,0.142,0.165,0.027,0.105
1034521,0.757,3.29,0.191,0.38,0.142,0.156,0.035,0.096
1035521,2.6138,3.13,0.231,0.39,0.118,0.131,0.037,0.093
1036521,0.4064,3.23,0.23,0.381,0.13,0.134,0.029,0.096
1037521,3.1114,3.12,0.221,0.356,0.121,0.16,0.041,0.101
1038521,1.447,3.23,0.246,0.385,0.117,0.139,0.028,0.085
1039521,2.5376,3.14,0.213,0.368,0.147,0.137,0.03,0.105
1040521,3.323,3.12,0.177,0.347,0.14,0.177,0.025,0.134
1041521,1.7726,3.15,0.203,0.381,0.142,0.155,0.023,0.096
1042521,1.2154,3.22,0.199,0.384,0.141,0.159,0.021,0.096
1043521,0.668,3.21,0.203,0.355,0.141,0.158,0.031,0.112
1044521,1.7276,3.08,0.196,0.368,0.131,0.161,0.026,0.118
1045521,0.363,3.34,0.19,0.359,0.157,0.163,0.019,0.112
1046521,2.8436,3.26,0.187,0.356,0.154,0.159,0.026,0.118
1047521,2.445,3.08,0.19,0.362,0.152,0.145,0.04,0.111
1048521,2.6982,3.08,0.184,0.36,0.137,0.158,0.044,0.117
1049521,2.4972,3.07,0.218,0.377,0.136,0.136,0.027,0.106
1050521,3.249,3.08,0.197,0.389,0.134,0.152,0.025,0.103
1051521,2.1662,3.05,0.193,0.383,0.159,0.122,0.036,0.107
1052521,3.5772,3.23,0.229,0.385,0.129,0.128,0.032,0.097
1053521,2.5212,3.1,0.187,0.362,0.162,0.158,0.023,0.108
1054521,0.2136,3.02,0.184,0.354,0.163,0.149,0.039,0.111
1055521,3.036,3.27,0.178,0.352,0.173,0.138,0.041,0.118
1056521,2.218,3.38,0.188,0.381,0.156,0.14,0.027,0.108
1057521,1.4534,3.33,0.193,0.36,0.166,0.136,0.039,0.106
1058521,3.5646,3.18,0.182,0.363,0.16,0.146,0.034,0.115
1059521,2.7088,3.31,0.184,0.373,0.168,0.133,0.029,0.113
1060521,3.7248,3.29,0.188,0.373,0.165,0.144,0.019,0.111
1061521,2.0506,3.19,0.183,0.383,0.17,0.143,0.022,0.099
1062521,2.4652,3.24,0.188,0.352,0.166,0.157,0.025,0.112
1063521,2.1506,3.09,0.212,0.352,0.167,0.154,0.015,0.1
1064521,1.3446,3.14,0.181,0.332,0.198,0.158,0.017,0.114
1065521,1.0784,3.14,0.185,0.324,0.178,0.169,0.027,0.117
1066521,2.3818,3.32,0.177,0.36,0.191,0.152,0.013,0.107
1067521,0.5856,3.22,0.176,0.35,0.182,0.166,0.016,0.11
1068521,1.9482,3.38,0.189,0.375,0.172,0.144,0.018,0.102
1069521,2.1134,3.36,0.177,0.357,0.184,0.153,0.027,0.102
1070521,2.7572,3.26,0.192,0.369,0.177,0.144,0.017,0.101
1071521,2.0608,3.18,0.189,0.366,0.189,0.141,0.024,0.091
1072521,1.9032,3.44,0.211,0.366,0.17,0.13,0.029,0.094
1073521,1.3432,3.4,0.192,0.372,0.178,0.13,0.025,0.103
1074521,1.5522,3.41,0.201,0.395,0.163,0.114,0.034,0.093
1075521,1.2436,3.4,0.207,0.4,0.154,0.119,0.026,0.094
1076521,-0.003,3.36,0.172,0.371,0.193,0.136,0.028,0.1
1077521,2.93,3.28,0.182,0.366,0.176,0.137,0.039,0.1
1078521,0.5782,3.33,0.184,0.391,0.17,0.122,0.037,0.096
1079521,2.0156,3.25,0.188,0.404,0.176,0.112,0.028,0.092
1080521,1.033,3.45,0.201,0.392,0.161,0.124,0.033,0.089
1081521,0.552,3.05,0.168,0.367,0.191,0.129,0.037,0.108
1082521,2.0118,3.17,0.181,0.382,0.171,0.123,0.034,0.109
1083521,1.432,3.2,0.171,0.358,0.173,0.158,0.038,0.102
1084521,2.6446,3.14,0.19,0.353,0.175,0.137,0.041,0.104
1085521,1.916,3.17,0.197,0.343,0.17,0.14,0.035,0.115
1086521,1.0618,3.28,0.199,0.383,0.157,0.134,0.031,0.096
1087521,2.2052,3.27,0.197,0.372,0.153,0.126,0.04,0.112
1088521,3.7308,3.35,0.217,0.372,0.159,0.125,0.035,0.092
1089521,0.7412,3.07,0.176,0.363,0.18,0.14,0.037,0.104
1090521,2.8278,3.14,0.175,0.343,0.179,0.154,0.038,0.111
1091521,1.7334,3.26,0.195,0.37,0.15,0.148,0.037,0.1
1092521,3.5472,3.14,0.175,0.366,0.177,0.146,0.028,0.108
1093521,2.7552,3.39,0.193,0.372,0.165,0.138,0.032,0.1
1094521,2.0412,2.88,0.166,0.353,0.164,0.159,0.046,0.112
1095521,3.0298,3.26,0.17,0.363,0.178,0.13,0.047,0.112
1096521,2.6574,3.12,0.194,0.376,0.156,0.139,0.034,0.101
1097521,1.0192,3.2,0.178,0.366,0.18,0.133,0.039,0.104
1098521,0.2996,3.27,0.156,0.368,0.207,0.128,0.034,0.107
1099521,2.3896,3.16,0.172,0.363,0.19,0.132,0.04,0.103
1100521,2.9404,3.41,0.198,0.376,0.155,0.131,0.029,0.111
1101521,0.2208,3.42,0.184,0.376,0.179,0.135,0.021,0.105
1102521,2.7584,2.99,0.176,0.38,0.183,0.135,0.025,0.101
1103521,1.1368,3.22,0.2,0.366,0.168,0.135,0.035,0.096
1104521,-0.7646,3.2,0.173,0.365,0.18,0.143,0.034,0.105
1105521,2.5422,3.34,0.178,0.348,0.179,0.131,0.046,0.118
1106521,2.1676,3.22,0.188,0.37,0.178,0.118,0.03,0.116
1107521,1.863,3.22,0.201,0.362,0.171,0.136,0.024,0.106
1108521,0.2722,3.17,0.196,0.392,0.177,0.104,0.034,0.097
1109521,2.9058,3.15,0.191,0.374,0.183,0.121,0.021,0.11
1110521,2.7924,3.15,0.173,0.364,0.182,0.133,0.031,0.117
1111521,2.6006,3.18,0.182,0.367,0.174,0.142,0.027,0.108
1112521,1.4712,3.17,0.215,0.345,0.169,0.13,0.035,0.106
1113521,2.1592,3.19,0.179,0.363,0.185,0.13,0.032,0.111
1114521,1.2942,3.04,0.19,0.365,0.183,0.128,0.024,0.11
1115521,0.2676,3.39,0.177,0.365,0.192,0.121,0.032,0.113
1116521,2.9834,3.2,0.199,0.348,0.177,0.142,0.025,0.109
1117521,3.3598,3.27,0.216,0.374,0.174,0.115,0.022,0.099
1118521,1.2704,3.24,0.212,0.386,0.173,0.108,0.02,0.101
1119521,3.223,3.02,0.198,0.388,0.181,0.126,0.019,0.088
1120521,1.4126,3.04,0.199,0.37,0.176,0.123,0.03,0.102
1121521,2.8052,3.19,0.19,0.387,0.169,0.119,0.027,0.108
1122521,0.274,3.09,0.192,0.378,0.181,0.119,0.02,0.11
1123521,2.5494,3.3,0.201,0.389,0.162,0.116,0.027,0.105
1124521,2.5088,3.21,0.227,0.404,0.163,0.1,0.021,0.085
1125521,1.9198,3.38,0.192,0.4,0.16,0.117,0.035,0.096
1126521,1.2504,3.26,0.225,0.39,0.146,0.114,0.029,0.096
1127521,3.4456,3.21,0.214,0.393,0.148,0.114,0.028,0.103
1128521,0.3526,3.2,0.215,0.39,0.16,0.111,0.032,0.092
1129521,1.8138,3.26,0.177,0.378,0.191,0.121,0.02,0.113
1130521,2.2236,3.06,0.213,0.398,0.146,0.113,0.031,0.099
1131521,1.2048,3.31,0.22,0.385,0.158,0.115,0.021,0.101
1132521,1.9356,3.13,0.176,0.347,0.184,0.134,0.039,0.12
1133521,1.0468,3.21,0.223,0.377,0.152,0.116,0.036,0.096
1134521,1.3876,3.3,0.194,0.388,0.169,0.111,0.032,0.106
1135521,0.682,3.17,0.22,0.383,0.138,0.129,0.03,0.1
1136521,2.5504,3.37,0.212,0.406,0.149,0.109,0.027,0.097
1137521,1.8126,3.3,0.195,0.369,0.167,0.118,0.041,0.11
1138521,4.0868,3.17,0.222,0.388,0.153,0.101,0.029,0.107
1139521,1.8002,3.35,0.215,0.409,0.156,0.094,0.033,0.093
1140521,4.5586,3.54,0.198,0.395,0.145,0.118,0.036,0.108
1141521,2.3664,3.19,0.205,0.373,0.14,0.138,0.036,0.108
1142521,2.1066,3.15,0.208,0.378,0.155,0.124,0.028,0.107
1143521,3.85,3.32,0.197,0.378,0.166,0.111,0.039,0.109
1144521,2.2822,3.33,0.184,0.365,0.169,0.131,0.04,0.111
1145521,3.7404,3.25,0.198,0.384,0.147,0.113,0.05,0.108
1146521,-0.898,3.16,0.204,0.384,0.165,0.105,0.04,0.102
1147521,1.1232,3.51,0.21,0.383,0.153,0.134,0.023,0.097
1148521,1.4372,3.18,0.198,0.368,0.17,0.126,0.028,0.11
1149521,1.4724,3.05,0.226,0.391,0.155,0.107,0.028,0.093
1150521,2.5626,3.13,0.211,0.37,0.159,0.133,0.027,0.1
1151521,0.0136,3.22,0.187,0.386,0.163,0.13,0.027,0.107
1152521,2.758,3.22,0.21,0.394,0.142,0.119,0.034,0.101
1153521,2.6372,3.26,0.225,0.382,0.159,0.117,0.022,0.095
1154521,1.4892,3.1,0.186,0.363,0.156,0.131,0.042,0.122
1155521,1.8344,3.19,0.22,0.368,0.142,0.125,0.03,0.115
1156521,2.054,3.16,0.211,0.347,0.153,0.145,0.032,0.112
