timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1000,2.237,2.6,0.162,0.177,0.165,0.166,0.174,0.156
2000,-3.201,2.24,0.167,0.168,0.141,0.171,0.191,0.162
3000,-0.412,2.36,0.161,0.167,0.17,0.163,0.171,0.168
4000,0.0522,2.55,0.107,0.178,0.192,0.165,0.21,0.148
5000,-2.2862,2.34,0.105,0.175,0.192,0.139,0.201,0.188
6000,0.5188,2.27,0.123,0.201,0.195,0.123,0.177,0.181
7000,0.337,2.49,0.094,0.178,0.203,0.158,0.216,0.151
8000,-0.4826,2.5,0.086,0.173,0.222,0.152,0.206,0.161
9000,0.079,2.56,0.074,0.176,0.235,0.149,0.221,0.145
10000,1.0342,2.52,0.069,0.184,0.231,0.157,0.241,0.118
11000,2.7432,2.63,0.053,0.216,0.191,0.17,0.248,0.122
12000,-0.2482,2.42,0.068,0.216,0.187,0.173,0.245,0.111
13000,0.1622,2.73,0.068,0.228,0.177,0.167,0.23,0.13
14000,0.5832,2.87,0.056,0.206,0.194,0.165,0.247,0.132
15000,0.0152,2.47,0.056,0.222,0.208,0.163,0.192,0.159
16000,-1.563,2.5,0.059,0.236,0.246,0.134,0.168,0.157
17000,0.3796,2.76,0.039,0.214,0.226,0.192,0.194,0.135
18000,-0.839,2.79,0.047,0.217,0.214,0.191,0.195,0.136
19000,2.2082,2.51,0.031,0.207,0.21,0.161,0.244,0.147
20000,-1.4814,2.69,0.035,0.242,0.2,0.176,0.247,0.1
21000,0.4912,2.77,0.023,0.248,0.179,0.147,0.268,0.135
22000,0.3478,2.72,0.037,0.243,0.177,0.138,0.288,0.117
23000,1.5076,2.96,0.033,0.262,0.194,0.145,0.259,0.107
24000,-0.7648,2.72,0.024,0.24,0.191,0.16,0.252,0.133
25000,-2.7952,2.77,0.037,0.273,0.184,0.168,0.208,0.13
26000,0.3094,2.82,0.037,0.291,0.187,0.154,0.207,0.124
27000,1.1102,3.06,0.032,0.31,0.166,0.165,0.227,0.1
28000,-0.2266,2.86,0.037,0.295,0.229,0.134,0.18,0.125
29000,-1.1368,2.97,0.033,0.322,0.223,0.105,0.207,0.11
30000,1.23,2.86,0.041,0.304,0.207,0.131,0.219,0.098
31000,-0.061,2.97,0.026,0.287,0.216,0.125,0.241,0.105
32000,1.5356,2.89,0.042,0.309,0.212,0.123,0.227,0.087
33000,1.1836,3.14,0.041,0.335,0.199,0.114,0.212,0.099
34000,-2.9652,3.18,0.028,0.329,0.23,0.125,0.205,0.083
35000,-1.6332,2.94,0.026,0.341,0.24,0.121,0.187,0.085
36000,-0.8132,3.07,0.031,0.342,0.232,0.125,0.192,0.078
37000,0.885,3.34,0.025,0.316,0.24,0.139,0.213,0.067
38000,2.8252,3.18,0.02,0.366,0.237,0.119,0.183,0.075
39000,-0.691,2.92,0.026,0.329,0.248,0.117,0.198,0.082
40000,-0.3202,3.16,0.019,0.316,0.257,0.129,0.211,0.068
41000,1.5844,3.05,0.02,0.295,0.249,0.137,0.211,0.088
42000,1.2446,3.12,0.036,0.326,0.225,0.142,0.2,0.071
43000,1.7524,3.21,0.028,0.331,0.247,0.119,0.201,0.074
44000,1.8346,3.27,0.026,0.308,0.262,0.128,0.197,0.079
45000,0.3712,3.25,0.029,0.305,0.29,0.125,0.168,0.083
46000,0.0774,3.03,0.036,0.321,0.293,0.097,0.171,0.082
47000,1.729,3.34,0.031,0.337,0.287,0.1,0.169,0.076
48000,0.0288,3.27,0.025,0.32,0.335,0.096,0.165,0.059
49000,2.0202,2.96,0.023,0.321,0.32,0.083,0.174,0.079
50000,1.1964,3.21,0.027,0.268,0.342,0.09,0.221,0.052
51000,2.759,3.28,0.024,0.286,0.301,0.095,0.224,0.07
52000,-1.5094,3.2,0.033,0.311,0.308,0.064,0.225,0.059
53000,2.452,3.18,0.036,0.29,0.3,0.083,0.221,0.07
54000,3.402,3.18,0.023,0.297,0.304,0.092,0.221,0.063
55000,-0.074,3.11,0.027,0.313,0.302,0.1,0.177,0.081
56000,1.6694,3.26,0.031,0.306,0.302,0.091,0.19,0.08
57000,-0.2496,3.27,0.034,0.305,0.274,0.098,0.204,0.085
58000,4.4348,3.13,0.027,0.308,0.312,0.119,0.168,0.066
59000,-3.0152,3.12,0.027,0.321,0.307,0.083,0.176,0.086
60000,0.511,3.15,0.025,0.315,0.314,0.104,0.173,0.069
61000,-0.7952,3.01,0.023,0.317,0.319,0.112,0.149,0.08
62000,2.1986,3.36,0.041,0.302,0.303,0.103,0.179,0.072
63000,-0.5206,3.42,0.037,0.334,0.287,0.102,0.169,0.071
64000,0.4514,3.27,0.033,0.304,0.324,0.106,0.165,0.068
65000,0.3756,3.06,0.023,0.338,0.304,0.106,0.148,0.081
66000,3.396,3.38,0.04,0.339,0.323,0.09,0.146,0.062
67000,0.9282,3.31,0.025,0.352,0.32,0.09,0.154,0.059
68000,0.7262,3.15,0.026,0.334,0.328,0.099,0.132,0.081
69000,0.0694,3.29,0.032,0.356,0.33,0.068,0.148,0.066
70000,0.8824,3.39,0.034,0.355,0.296,0.107,0.149,0.059
71000,-1.5728,3.33,0.026,0.367,0.288,0.119,0.142,0.058
72000,5.7416,3.21,0.038,0.326,0.288,0.093,0.183,0.072
73000,-2.6538,3.32,0.028,0.338,0.285,0.085,0.195,0.069
74000,0.4702,3.36,0.023,0.371,0.27,0.102,0.174,0.06
75000,2.0794,3.38,0.027,0.381,0.287,0.09,0.153,0.062
76000,1.239,3.38,0.038,0.366,0.315,0.087,0.128,0.066
77000,-0.9692,3.51,0.029,0.378,0.283,0.101,0.146,0.063
78000,2.144,3.4,0.022,0.379,0.284,0.094,0.149,0.072
79000,0.2434,3.39,0.033,0.38,0.271,0.1,0.14,0.076
80000,0.6752,3.41,0.028,0.369,0.276,0.117,0.139,0.071
81000,-2.2606,3.27,0.035,0.374,0.242,0.117,0.151,0.081
82000,0.6276,3.51,0.044,0.372,0.247,0.12,0.15,0.067
83000,1.5062,3.43,0.043,0.363,0.258,0.095,0.156,0.085
84000,3.0506,3.25,0.038,0.325,0.281,0.113,0.166,0.077
85000,2.851,3.45,0.034,0.373,0.299,0.097,0.119,0.078
86000,2.9202,3.24,0.056,0.391,0.258,0.088,0.134,0.073
87000,1.0436,3.28,0.047,0.364,0.28,0.096,0.135,0.078
88000,0.5692,3.45,0.047,0.371,0.29,0.108,0.124,0.06
