timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1003521,4.026,1.99,0.0,1.0,0.0,0.0,0.0,0.0
1004521,2.848,1.95,0.148,0.201,0.0,0.0,0.623,0.028
1005521,1.417,1.78,0.147,0.196,0.0,0.0,0.627,0.03
1006521,3.611,1.88,0.165,0.178,0.002,0.0,0.631,0.024
1007521,3.504,1.86,0.148,0.196,0.0,0.0,0.623,0.033
1008521,2.488,2.05,0.146,0.199,0.0,0.002,0.621,0.032
1009521,2.885,1.86,0.161,0.187,0.0,0.0,0.614,0.038
1010521,5.471,1.92,0.149,0.19,0.0,0.0,0.627,0.034
1011521,2.28,2.01,0.128,0.214,0.0,0.001,0.614,0.043
1012521,3.416,2.05,0.153,0.185,0.001,0.001,0.618,0.042
1013521,3.284,1.95,0.158,0.191,0.0,0.001,0.625,0.025
1014521,4.675,1.97,0.153,0.195,0.0,0.0,0.62,0.032
1015521,2.553,1.92,0.13,0.227,0.001,0.0,0.617,0.025
1016521,2.38,2.01,0.166,0.179,0.003,0.0,0.626,0.026
1017521,4.611,2.0,0.166,0.176,0.0,0.0,0.631,0.027
1018521,0.262,1.98,0.148,0.188,0.002,0.001,0.629,0.032
1019521,2.171,1.94,0.145,0.192,0.003,0.001,0.625,0.034
1020521,3.373,2.02,0.151,0.185,0.001,0.0,0.628,0.035
1021521,3.111,1.81,0.17,0.179,0.001,0.0,0.626,0.024
1022521,1.393,1.79,0.139,0.198,0.0,0.001,0.615,0.047
1023521,3.886,2.05,0.148,0.2,0.001,0.001,0.621,0.029
1024521,0.415,1.84,0.168,0.179,0.001,0.0,0.624,0.028
1025521,2.102,1.88,0.157,0.186,0.0,0.0,0.625,0.032
1026521,2.24,1.79,0.187,0.151,0.002,0.001,0.63,0.029
1027521,3.128,1.96,0.156,0.198,0.001,0.0,0.618,0.027
1028521,1.273,1.99,0.159,0.187,0.001,0.001,0.621,0.031
1029521,3.629,1.86,0.161,0.186,0.0,0.002,0.614,0.037
1030521,0.936,2.0,0.135,0.211,0.001,0.0,0.616,0.037
1031521,5.672,1.92,0.157,0.191,0.002,0.0,0.616,0.034
1032521,3.041,1.98,0.138,0.197,0.0,0.001,0.617,0.047
1033521,2.002,1.98,0.147,0.188,0.0,0.0,0.62,0.045
1034521,3.039,1.89,0.14,0.198,0.0,0.002,0.61,0.05
1035521,4.7154,1.9,0.133,0.211,0.001,0.002,0.616,0.037
1036521,1.052,2.03,0.133,0.206,0.002,0.002,0.625,0.032
1037521,4.062,1.98,0.149,0.191,0.0,0.001,0.619,0.04
1038521,0.368,2.09,0.146,0.205,0.001,0.001,0.612,0.035
1039521,4.212,1.99,0.143,0.205,0.0,0.0,0.614,0.038
1040521,2.707,1.91,0.152,0.187,0.001,0.0,0.626,0.034
1041521,2.882,1.94,0.133,0.198,0.001,0.002,0.624,0.042
1042521,0.254,1.86,0.142,0.202,0.0,0.0,0.619,0.037
