timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1000,-0.1076,1.81,0.167,0.156,0.166,0.163,0.174,0.174
2000,0.8322,1.93,0.166,0.158,0.168,0.183,0.19,0.135
3000,2.6126,1.9,0.124,0.146,0.181,0.183,0.175,0.191
4000,0.398,1.9,0.124,0.164,0.177,0.166,0.171,0.198
5000,0.44,1.89,0.11,0.131,0.158,0.218,0.187,0.196
6000,0.7486,1.77,0.102,0.141,0.135,0.205,0.183,0.234
7000,3.669,1.61,0.104,0.131,0.124,0.182,0.236,0.223
8000,2.9038,1.75,0.07,0.142,0.135,0.181,0.263,0.209
9000,2.5112,1.8,0.089,0.139,0.154,0.174,0.223,0.221
10000,1.9926,2.03,0.083,0.146,0.156,0.186,0.212,0.217
11000,4.478,1.92,0.061,0.118,0.157,0.176,0.279,0.209
12000,2.097,2.01,0.06,0.116,0.156,0.19,0.305,0.173
13000,2.7688,2.06,0.06,0.121,0.172,0.142,0.331,0.174
14000,4.667,2.02,0.049,0.118,0.195,0.162,0.297,0.179
15000,2.2788,2.01,0.052,0.115,0.216,0.18,0.289,0.148
16000,3.2166,1.92,0.058,0.116,0.208,0.183,0.267,0.168
17000,4.1246,1.94,0.052,0.111,0.187,0.177,0.31,0.163
18000,-0.1814,1.93,0.027,0.119,0.179,0.185,0.321,0.169
19000,-0.0322,1.88,0.039,0.129,0.189,0.162,0.306,0.175
20000,4.6592,2.04,0.028,0.142,0.186,0.164,0.342,0.138
21000,0.8132,1.87,0.026,0.113,0.187,0.135,0.387,0.152
22000,3.1706,2.06,0.016,0.127,0.186,0.138,0.421,0.112
23000,2.5502,2.12,0.03,0.129,0.158,0.124,0.399,0.16
24000,0.5408,2.06,0.03,0.146,0.142,0.124,0.416,0.142
25000,2.1578,2.11,0.033,0.157,0.138,0.125,0.41,0.137
26000,2.7474,2.12,0.031,0.166,0.123,0.136,0.404,0.14
27000,2.9932,2.06,0.039,0.157,0.107,0.142,0.425,0.13
28000,2.9186,1.88,0.035,0.171,0.092,0.119,0.447,0.136
29000,3.9084,2.11,0.03,0.164,0.106,0.133,0.396,0.171
30000,4.4368,2.15,0.023,0.175,0.1,0.14,0.412,0.15
31000,3.7094,2.04,0.016,0.155,0.123,0.105,0.445,0.156
32000,3.6984,2.1,0.023,0.142,0.118,0.11,0.486,0.121
33000,3.4606,2.02,0.024,0.165,0.113,0.087,0.469,0.142
34000,3.7944,2.25,0.016,0.181,0.092,0.098,0.459,0.154
35000,3.0082,2.06,0.012,0.16,0.106,0.1,0.461,0.161
36000,3.018,1.99,0.016,0.144,0.091,0.09,0.489,0.17
37000,2.033,2.04,0.019,0.167,0.083,0.106,0.473,0.152
38000,0.1092,1.89,0.011,0.161,0.085,0.081,0.483,0.179
39000,2.8386,2.0,0.012,0.157,0.096,0.073,0.473,0.189
