timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
501761,0.668,3.66,0.0,1.0,0.0,0.0,0.0,0.0
502761,1.216,3.81,0.195,0.666,0.0,0.027,0.11,0.002
503761,-0.71,3.78,0.214,0.677,0.0,0.024,0.085,0.0
504761,0.4556,3.72,0.177,0.689,0.003,0.02,0.107,0.004
505761,0.0204,3.58,0.186,0.674,0.0,0.016,0.121,0.003
506761,-0.084,3.62,0.194,0.685,0.0,0.013,0.107,0.001
507761,0.05,3.73,0.202,0.692,0.001,0.017,0.086,0.002
508761,0.3436,3.52,0.252,0.643,0.0,0.011,0.092,0.002
509761,-0.52,3.62,0.196,0.687,0.001,0.015,0.098,0.003
510761,0.1204,3.62,0.223,0.671,0.0,0.011,0.094,0.001
511761,0.43,3.61,0.223,0.684,0.001,0.006,0.081,0.005
512761,-0.016,3.61,0.251,0.658,0.0,0.007,0.079,0.005
513761,-0.37,3.77,0.224,0.667,0.0,0.003,0.103,0.003
514761,0.5944,3.8,0.221,0.668,0.0,0.017,0.092,0.002
515761,0.53,3.69,0.224,0.678,0.001,0.011,0.081,0.005
516761,1.53,3.68,0.201,0.657,0.001,0.026,0.11,0.005
517761,0.89,3.6,0.215,0.674,0.0,0.02,0.087,0.004
518761,-0.244,3.62,0.209,0.675,0.0,0.019,0.095,0.002
519761,0.9168,3.64,0.209,0.66,0.0,0.016,0.113,0.002
520761,0.73,3.51,0.202,0.679,0.0,0.013,0.103,0.003
521761,-0.172,3.77,0.188,0.698,0.0,0.007,0.102,0.005
522761,0.46,3.59,0.205,0.681,0.002,0.008,0.101,0.003
523761,-0.61,3.69,0.204,0.688,0.001,0.01,0.092,0.005
524761,-0.3896,3.56,0.18,0.685,0.001,0.016,0.113,0.005
525761,0.47,3.57,0.205,0.673,0.0,0.015,0.102,0.005
526761,0.104,3.59,0.185,0.691,0.0,0.014,0.105,0.005
527761,-0.18,3.54,0.2,0.665,0.001,0.025,0.104,0.005
528761,0.5908,3.59,0.19,0.652,0.001,0.026,0.127,0.004
529761,0.0768,3.68,0.201,0.658,0.001,0.016,0.118,0.006
530761,-0.05,3.49,0.217,0.642,0.0,0.015,0.125,0.001
531761,0.1068,3.59,0.203,0.64,0.0,0.019,0.131,0.007
532761,-0.806,3.45,0.226,0.652,0.0,0.017,0.097,0.008
533761,0.4,3.53,0.216,0.646,0.001,0.023,0.101,0.013
534761,-0.304,3.54,0.215,0.667,0.002,0.022,0.086,0.008
535761,-0.34,3.45,0.205,0.664,0.0,0.016,0.104,0.011
536761,0.3468,3.48,0.215,0.651,0.0,0.022,0.106,0.006
537761,-0.08,3.53,0.246,0.631,0.001,0.025,0.091,0.006
538761,0.43,3.58,0.243,0.616,0.0,0.017,0.115,0.009
539761,0.5668,3.55,0.232,0.605,0.0,0.024,0.126,0.013
540761,0.1768,3.4,0.25,0.599,0.0,0.028,0.114,0.009
541761,0.3608,3.47,0.257,0.593,0.0,0.022,0.109,0.019
542761,-0.45,3.6,0.256,0.602,0.0,0.022,0.106,0.014
543761,0.4,3.55,0.257,0.598,0.001,0.017,0.113,0.014
544761,0.2,3.45,0.233,0.606,0.0,0.019,0.128,0.014
545761,0.0168,3.38,0.258,0.583,0.001,0.023,0.124,0.011
546761,0.44,3.42,0.236,0.609,0.0,0.029,0.111,0.015
547761,-0.02,3.34,0.224,0.603,0.001,0.034,0.135,0.003
548761,0.87,3.29,0.215,0.611,0.0,0.027,0.13,0.017
549761,0.17,3.37,0.202,0.613,0.0,0.03,0.146,0.009
550761,0.06,3.36,0.221,0.619,0.0,0.037,0.108,0.015
551761,0.1064,3.39,0.198,0.599,0.0,0.045,0.145,0.013
552761,-0.1968,2.99,0.217,0.603,0.001,0.042,0.118,0.019
553761,0.37,3.13,0.198,0.612,0.001,0.042,0.129,0.018
554761,-0.0032,3.27,0.192,0.594,0.002,0.047,0.145,0.02
555761,0.224,3.16,0.189,0.604,0.001,0.041,0.145,0.02
556761,-0.24,2.99,0.183,0.577,0.001,0.047,0.169,0.023
557761,-0.02,3.23,0.182,0.601,0.0,0.051,0.15,0.016
558761,0.9832,3.22,0.16,0.6,0.002,0.052,0.17,0.016
559761,0.1332,3.29,0.174,0.582,0.003,0.056,0.17,0.015
560761,-0.316,3.15,0.186,0.584,0.001,0.038,0.166,0.025
561761,0.5396,2.98,0.197,0.567,0.003,0.043,0.162,0.028
562761,0.9968,2.97,0.186,0.556,0.003,0.043,0.186,0.026
563761,0.1964,3.15,0.212,0.566,0.0,0.041,0.166,0.015
564761,0.4468,3.03,0.171,0.585,0.004,0.039,0.183,0.018
565761,0.2136,3.02,0.195,0.562,0.001,0.041,0.175,0.026
566761,0.6536,2.95,0.2,0.574,0.003,0.046,0.158,0.019
567761,0.18,2.8,0.185,0.565,0.001,0.047,0.174,0.028
568761,-0.0068,2.79,0.192,0.547,0.003,0.049,0.171,0.038
569761,0.32,2.82,0.191,0.58,0.001,0.038,0.168,0.022
570761,0.1168,2.8,0.188,0.531,0.003,0.041,0.207,0.03
571761,0.7468,2.81,0.197,0.52,0.005,0.032,0.217,0.029
572761,0.1968,2.84,0.191,0.517,0.003,0.057,0.2,0.032
573761,0.2936,2.77,0.196,0.518,0.001,0.042,0.205,0.038
574761,0.4804,2.58,0.2,0.506,0.0,0.052,0.196,0.046
575761,0.1936,2.79,0.196,0.498,0.005,0.06,0.207,0.034
576761,-0.2,2.66,0.189,0.503,0.003,0.049,0.224,0.032
577761,0.75,2.5,0.16,0.517,0.002,0.064,0.219,0.038
578761,0.11,2.47,0.186,0.474,0.003,0.053,0.215,0.069
579761,0.9444,2.26,0.181,0.457,0.006,0.059,0.23,0.067
580761,-0.1164,2.29,0.176,0.448,0.002,0.055,0.244,0.075
581761,0.1668,2.34,0.177,0.452,0.005,0.058,0.242,0.066
582761,0.4068,2.04,0.202,0.39,0.007,0.061,0.27,0.07
583761,0.3768,1.87,0.193,0.382,0.004,0.06,0.281,0.08
584761,0.2372,1.84,0.18,0.367,0.01,0.067,0.301,0.075
585761,0.71,2.04,0.197,0.366,0.009,0.056,0.298,0.074
586761,0.24,1.48,0.198,0.31,0.006,0.077,0.325,0.084
587761,0.6868,1.78,0.184,0.329,0.008,0.063,0.342,0.074
588761,0.89,1.54,0.175,0.289,0.013,0.052,0.413,0.058
589761,0.43,1.76,0.192,0.279,0.008,0.053,0.394,0.074
590761,0.62,1.6,0.179,0.275,0.011,0.047,0.421,0.067
591761,0.53,1.61,0.166,0.291,0.015,0.054,0.422,0.052
592761,0.45,1.28,0.22,0.206,0.015,0.051,0.446,0.062
593761,0.45,1.44,0.204,0.221,0.009,0.042,0.46,0.064
594761,0.62,1.59,0.202,0.18,0.02,0.059,0.466,0.073
595761,0.76,1.39,0.196,0.169,0.02,0.06,0.484,0.071
596761,0.62,1.22,0.211,0.133,0.021,0.04,0.515,0.08
597761,0.15,1.3,0.187,0.164,0.015,0.051,0.507,0.076
598761,0.47,1.29,0.202,0.138,0.017,0.056,0.5,0.087
599761,0.54,1.31,0.194,0.122,0.02,0.061,0.523,0.08
600761,0.35,1.19,0.192,0.114,0.021,0.057,0.517,0.099
601761,0.583,1.19,0.185,0.098,0.026,0.057,0.554,0.08
602761,0.5132,1.2,0.215,0.072,0.018,0.072,0.533,0.09
603761,0.5868,1.15,0.22,0.059,0.028,0.062,0.546,0.085
604761,0.6,1.17,0.216,0.082,0.026,0.069,0.505,0.102
605761,0.39,1.13,0.208,0.058,0.029,0.087,0.521,0.097
606761,0.6868,1.14,0.21,0.047,0.028,0.081,0.516,0.118
607761,0.5208,1.16,0.206,0.042,0.018,0.099,0.493,0.142
608761,0.3768,1.08,0.206,0.034,0.032,0.103,0.476,0.149
609761,0.24,1.09,0.202,0.053,0.045,0.099,0.44,0.161
610761,0.32,1.14,0.191,0.032,0.034,0.125,0.446,0.172
611761,0.57,1.07,0.175,0.044,0.044,0.145,0.39,0.202
