timestep,ep_rew_mean,ep_len_mean,fold%,check_call%,raise33%,raise66%,raise100%,allin%
1000,0.6874,1.68,0.152,0.151,0.171,0.152,0.191,0.183
2000,0.5926,1.85,0.166,0.175,0.161,0.169,0.157,0.172
3000,1.4104,1.87,0.136,0.179,0.184,0.154,0.195,0.152
4000,-1.2492,1.67,0.125,0.165,0.184,0.17,0.186,0.17
5000,-1.3654,2.04,0.11,0.153,0.171,0.217,0.213,0.136
6000,-1.0408,1.94,0.108,0.149,0.196,0.222,0.204,0.121
7000,3.8206,1.88,0.113,0.14,0.199,0.174,0.221,0.153
8000,-1.3816,1.83,0.085,0.144,0.226,0.171,0.236,0.138
9000,1.0176,1.96,0.068,0.183,0.182,0.177,0.259,0.131
10000,2.0892,2.07,0.059,0.153,0.181,0.194,0.267,0.146
11000,-0.5696,2.04,0.051,0.162,0.168,0.203,0.267,0.149
12000,0.304,2.1,0.051,0.17,0.165,0.21,0.282,0.122
13000,1.7202,2.17,0.054,0.185,0.169,0.229,0.246,0.117
14000,1.0492,2.22,0.042,0.191,0.153,0.244,0.262,0.108
15000,-1.8266,2.16,0.035,0.156,0.161,0.265,0.283,0.1
16000,1.7094,2.11,0.04,0.152,0.154,0.254,0.308,0.092
17000,1.7354,2.05,0.041,0.142,0.15,0.238,0.327,0.102
18000,-5.6042,2.06,0.03,0.133,0.156,0.252,0.321,0.108
19000,1.0096,2.12,0.034,0.157,0.159,0.241,0.281,0.128
20000,2.4784,2.25,0.028,0.153,0.18,0.272,0.242,0.125
21000,0.6268,2.07,0.024,0.135,0.162,0.285,0.285,0.109
22000,1.0976,2.27,0.029,0.154,0.15,0.264,0.288,0.115
23000,0.7546,2.18,0.028,0.149,0.131,0.281,0.3,0.111
24000,-3.2416,2.19,0.025,0.161,0.125,0.277,0.32,0.092
25000,1.1508,2.09,0.018,0.17,0.115,0.301,0.298,0.098
26000,-1.9102,2.32,0.014,0.17,0.085,0.332,0.302,0.097
27000,3.9986,2.27,0.014,0.18,0.091,0.337,0.274,0.104
28000,-1.5612,2.39,0.017,0.145,0.111,0.323,0.294,0.11
29000,1.4704,2.21,0.019,0.158,0.105,0.307,0.31,0.101
30000,-1.7792,2.4,0.021,0.184,0.106,0.283,0.306,0.1
31000,-0.7828,2.2,0.013,0.15,0.111,0.316,0.316,0.094
32000,1.0434,2.37,0.015,0.182,0.113,0.33,0.262,0.098
33000,-1.3072,2.31,0.013,0.195,0.112,0.353,0.249,0.078
34000,0.4592,2.36,0.009,0.191,0.092,0.373,0.233,0.102
35000,-1.6964,2.49,0.01,0.21,0.101,0.358,0.224,0.097
36000,1.9956,2.6,0.014,0.225,0.091,0.32,0.238,0.112
37000,-4.6614,2.46,0.015,0.206,0.101,0.302,0.259,0.117
38000,-3.2618,2.49,0.011,0.245,0.086,0.276,0.278,0.104
39000,-0.0648,2.44,0.013,0.234,0.096,0.253,0.315,0.089
40000,2.1092,2.5,0.007,0.217,0.071,0.334,0.277,0.094
41000,-2.3468,2.28,0.009,0.212,0.076,0.32,0.301,0.082
42000,-2.4748,2.44,0.01,0.244,0.08,0.322,0.256,0.088
43000,1.3786,2.42,0.006,0.224,0.079,0.338,0.259,0.094
44000,-0.4444,2.51,0.005,0.242,0.07,0.322,0.248,0.113
45000,-0.056,2.38,0.003,0.236,0.092,0.367,0.226,0.076
46000,-0.4264,2.53,0.006,0.268,0.057,0.362,0.215,0.092
47000,-0.2252,2.39,0.01,0.263,0.061,0.36,0.222,0.084
48000,1.0364,2.49,0.002,0.278,0.071,0.323,0.216,0.11
49000,-0.4982,2.46,0.006,0.265,0.079,0.31,0.242,0.098
50000,0.8634,2.42,0.003,0.236,0.072,0.305,0.255,0.129
51000,-2.5544,2.4,0.005,0.222,0.083,0.324,0.273,0.093
52000,-1.901,2.45,0.006,0.248,0.089,0.327,0.231,0.099
53000,1.7846,2.52,0.003,0.275,0.098,0.325,0.195,0.104
54000,-0.3452,2.46,0.005,0.234,0.081,0.296,0.248,0.136
55000,0.681,2.49,0.004,0.26,0.09,0.289,0.269,0.088
56000,1.7616,2.4,0.006,0.28,0.073,0.292,0.232,0.117
57000,-0.0572,2.5,0.007,0.307,0.071,0.266,0.224,0.125
58000,-1.868,2.66,0.002,0.292,0.08,0.269,0.232,0.125
59000,-0.9884,2.45,0.007,0.27,0.084,0.282,0.236,0.121
60000,-1.0372,2.39,0.006,0.257,0.084,0.287,0.225,0.141
61000,3.205,2.26,0.005,0.216,0.071,0.308,0.252,0.148
62000,-0.8794,2.45,0.006,0.264,0.079,0.282,0.234,0.135
63000,1.1962,2.59,0.008,0.28,0.105,0.245,0.237,0.125
64000,-2.5128,2.34,0.006,0.249,0.096,0.252,0.252,0.145
65000,2.6818,2.48,0.003,0.29,0.099,0.248,0.242,0.118
66000,2.0564,2.53,0.009,0.242,0.108,0.283,0.243,0.115
